bvets vehicle performance table 0.01,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,WF1,WF2,WF3,WF4
22,11928.13476,20176.20076,25534.62593,35048.13832,46322.912,60982.55685,86859.79881,244808.0839,869756.5987,375660.9534,744126.9345,1309034.153
23,11477.10074,19412.83723,24523.08191,33567.49983,44131.07692,57434.74023,78510.17403,186770.2821,463440.8781,285624.6486,520992.1258,881947.8837
24,11033.81076,18677.18862,23554.72302,32151.29784,42063.98537,54159.64103,71397.1154,149387.7336,300613.7837,228700.7606,390755.1108,641116.2747
25,10598.07109,17967.78755,22626.87237,30795.49709,40111.49096,51127.63663,65269.52865,123497.1048,216900.3824,189659.6423,307324.9655,491143.0871
26,10169.69431,17283.26765,21737.06787,29496.38751,38264.50288,48313.18034,59939.18884,104597.4086,167183.4483,161304.4273,250211.1951,390937.0234
27,9748.49905,16622.35499,20883.0413,28250.55249,36514.85359,45694.13156,55262.39197,90240.95344,134742.0392,139817.2366,209119.9707,320368.4578
28,9334.309769,15983.86051,20062.69968,27054.84073,34855.18576,43251.21263,51127.63663,78991.02398,112124.3328,122993.7675,178392.986,268603.6352
29,8926.956512,15366.67306,19274.10885,25906.34127,33278.85533,40967.56554,47447.15511,69952.63094,95563.31929,109476.1999,154697.1637,229376.5241
30,8526.274696,14769.7532,18515.47873,24802.36125,31779.84796,38828.38786,44150.96719,62541.03266,82971.23911,98384.23546,135958.2662,198850.4911
31,8132.104902,14192.12752,17785.15025,23740.40607,30352.70696,36820.63194,41182.62546,56358.97424,73106.81126,89123.01234,120826.4545,174565.188
32,7744.292676,13632.88352,17081.58369,22718.16162,28992.47075,34932.75497,38496.11895,51127.63663,65189.9542,81276.54252,108390.107,154881.2067
33,7362.68834,13091.16493,16403.34815,21733.4785,27694.6185,33154.5103,36053.58489,46645.85293,58707.91309,74545.42746,98013.9887,138670.3126
34,6987.146809,12566.1675,15749.11221,20784.35768,26455.02272,31476.77223,33823.59381,42765.00729,53310.90813,68708.829,89243.457,125134.3481
35,6617.52742,12057.13511,15117.63546,19868.93776,25269.90784,29891.38824,31779.84796,39373.0319,48752.77732,63600.37285,81745.50699,113695.0456
36,6617.52742,11563.35624,14507.76093,18985.48343,24135.81376,28391.0539,29900.18174,36383.88863,44855.6171,59092.38542,75271.25129,103924.6406
37,6617.52742,11084.16077,13918.40818,18132.37506,23049.56397,26969.20636,28165.78581,33730.469,41487.87637,55085.29214,69631.3328,95500.84947
38,6617.52742,10618.917,13348.56716,17308.09933,22008.23729,25619.93343,26560.59887,31359.68767,38550.31987,51500.31157,64679.39338,88176.88
39,6617.52742,10167.02897,12797.29258,16511.24071,21009.14293,24337.8956,25070.82638,29229.02026,35966.76654,48274.31124,60300.70287,81760.98305
40,6617.52742,9727.933973,12263.69885,15740.47378,20049.79847,23118.25893,23684.55656,27304.01452,33677.81929,45356.11532,56404.17701,76102.2186
41,6617.52742,9301.100286,11746.95543,14994.55622,19127.91021,21956.63713,22391.45155,25556.47082,31636.52238,42703.80861,52916.67122,71080.36071
42,6617.52742,8886.025068,11246.28267,14272.32247,18241.35575,20849.04134,21182.49711,23963.09166,29805.29221,40282.73698,49778.83333,66598.61635
43,6617.52742,8482.232441,10760.948,13572.67794,17388.16839,19791.83645,20049.79847,22504.46552,28153.70835,38064.00364,46942.04418,62578.29316
44,6617.52742,8089.271718,10290.26241,12894.59372,16566.52325,18781.70311,18986.41261,21164.2924,26656.89747,36023.32351,44366.12951,58954.83963
45,6617.52742,7706.71576,9833.577323,12237.10179,15774.72483,17815.60438,17986.20976,19928.78693,25294.33333,34140.14023,42017.62747,55674.86688
46,6617.52742,7334.159469,9390.281642,11599.29064,15011.19579,16890.7566,17043.75824,18786.2133,24048.93355,32396.93827,39868.46139,52693.88221
47,6617.52742,6971.21839,8959.799128,10980.30118,14274.46697,16004.6037,16154.22833,17726.51943,22906.37138,30778.70165,37894.91251,49974.54577
48,6617.52742,6617.52742,8541.585948,10379.32311,13563.1683,15154.7946,15313.31142,16741.04654,21854.54529,29272.48414,36076.8168,47485.316
49,6617.52742,6617.52742,8135.128439,9795.5915,12876.02066,14339.16319,14517.15196,15822.29664,20883.16583,27867.06508,34396.9315,45199.38748
50,6617.52742,6617.52742,7739.94106,9228.383718,12211.82853,13555.71065,13762.28963,14963.74498,19983.43083,26552.67156,32840.43107,43093.85081
51,6617.52742,6617.52742,7355.564498,8677.01654,11569.4733,12802.58969,13045.61016,14159.6876,19147.76764,25320.75259,31394.5031,41149.02278
52,6617.52742,6617.52742,6981.56393,8140.84353,10947.90724,12078.09058,12364.30333,13405.11657,18369.62697,24163.79411,30048.02191,39347.90817
53,6617.52742,6617.52742,6617.52742,7619.252622,10346.148,11380.62867,11715.82687,12695.61731,17643.31664,23075.16669,28791.28306,37675.76454
54,6617.52742,6617.52742,6617.52742,7111.663876,9763.273636,10708.73319,11097.8754,12027.28346,16963.86656,22048.9992,27615.78602,36119.7476
55,6617.52742,6617.52742,6617.52742,6617.52742,9198.418074,10061.03734,10508.35354,11396.64601,16326.91838,21080.07353,26514.05522,34668.62079
56,6617.52742,6617.52742,6617.52742,6617.52742,8650.766957,9436.269259,9945.352626,10800.61394,15728.63464,20163.73638,25479.49179,33312.51582
57,6617.52742,6617.52742,6617.52742,6617.52742,8119.553876,8833.244003,9407.130459,10236.42417,15165.62364,19295.82491,24506.25007,32042.73417
58,6617.52742,6617.52742,6617.52742,6617.52742,7604.056913,8250.85629,8892.093575,9701.599361,14634.8768,18472.60386,23589.13433,30851.58187
59,6617.52742,6617.52742,6617.52742,6617.52742,7103.595479,7688.073954,8398.781769,9193.911979,14133.71635,17690.71208,22723.51176,29732.23096
60,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,7143.932032,7925.854493,8711.353644,13659.75127,16947.11688,21905.2391,28678.60313
61,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,7472.078881,8252.108895,13210.84006,16239.07491,21130.60022,27685.27129
62,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,7036.319184,7814.532616,12785.0592,15564.09849,20396.25307,26747.37612
63,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,7397.130557,12380.67618,14919.9265,19699.1842,25860.5549
64,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6998.542466,11996.12649,14304.49923,19036.66971,25020.88076
65,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,11629.99381,13715.93642,18406.24163,24224.81038
66,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6252.951052,11280.99292,13152.51816,17805.65885,23469.13909
67,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,5903.774373,10947.95496,12612.6682,17232.88183,22750.962
68,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,5569.04397,10629.81458,12094.93921,16686.05067,22067.64023
69,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,5247.883394,10325.59879,11597.99992,16163.46593,21416.77171
70,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,4939.485552,10034.41718,11120.62369,15663.57183,20796.16553
71,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,4643.106002,9755.453373,10661.67847,15184.9415,20203.81963
72,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,4358.056988,9487.957531,10220.11783,14726.26404,19637.90118
73,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,4083.702163,9231.239709,9794.973038,14286.33303,19096.72933
74,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,3819.451875,8984.664026,9385.34597,13864.03646,18578.76
75,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,3564.75897,8747.643484,8990.402814,13458.3477,18082.57247
76,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,3319.115036,8519.635369,8609.368406,13068.31753,17606.85747
77,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,3082.047038,8300.137172,8241.521168,12693.06704,17150.40662
78,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2853.114298,8088.682938,7886.188559,12331.78132,16712.10302
79,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,7884.840013,7542.742981,11983.70371,16290.91289
80,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,7688.20613,7210.598088,11648.13079,15885.87808
81,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,7498.406794,6889.205456,11324.40778,15496.10936
82,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,7315.092931,6578.051562,11011.92444,15120.78044
83,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,7137.938774,6276.655057,10710.11138,14759.12257
84,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,6966.639954,5984.564286,10418.43673,14410.41966
85,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,6800.911775,5701.35503,10136.40307,14074.00393
86,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,6640.487655,5426.628461,9863.544782,13749.25192
87,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,6485.117711,5160.009264,9599.425495,13435.581
88,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,6334.567474,4901.143938,9343.635879,13132.44601
89,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,6188.616719,4649.699226,9095.791581,12839.33644
90,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,6047.058407,4405.360694,8855.531364,12555.77368
91,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5909.697712,4167.831418,8622.515402,12281.30864
92,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5776.351133,3936.830782,8396.42373,12015.51952
93,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5646.845689,3712.093375,8176.954821,11758.0098
94,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5521.018174,3493.367974,7963.824284,11508.40637
95,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5398.714481,3280.41661,7756.76367,11266.35789
96,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,3073.013706,7555.519381,11031.53321
97,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,2870.945279,7359.851656,10803.61998
98,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,2674.008207,7169.533651,10582.32334
99,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,2482.009547,6984.350581,10367.36471
100,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,2294.765907,6804.098936,10158.48073
101,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,2043.474158,6568.966003,9849.783922
102,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,1832.679798,6367.144619,9606.570752
103,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,1621.885438,6165.323236,9363.357582
104,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,1411.091078,5963.501852,9120.144412
105,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,1200.296718,5761.680469,8876.931242
106,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,989.5023577,5559.859086,8633.718072
107,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,778.7079977,5358.037702,8390.504902
108,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,567.9136376,5156.216319,8147.291732
109,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,357.1192776,4954.394935,7904.078562
110,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,4752.573552,7660.865392
111,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,4550.752169,7417.652223
112,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,4348.930785,7174.439053
113,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,4147.109402,6931.225883
114,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,3945.288018,6688.012713
115,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,3743.466635,6444.799543
116,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,3541.645252,6201.586373
117,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,3339.823868,5958.373203
118,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,3138.002485,5715.160033
119,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,2936.181101,5471.946863
120,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,2734.359718,5228.733694
121,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,2532.538335,4985.520524
122,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,2330.716951,4742.307354
123,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,2128.895568,4499.094184
124,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,1927.074184,4255.881014
125,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,1725.252801,4012.667844
126,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,1523.431418,3769.454674
127,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,1321.610034,3526.241504
128,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,1119.788651,3283.028334
129,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,917.9672675,3039.815164
130,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,716.1458841,2796.601995
131,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,514.3245007,2553.388825
132,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,312.5031173,2310.175655
133,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,110.6817339,2066.962485
134,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,110.6817339,1823.749315
135,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,110.6817339,1580.536145
136,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,110.6817339,1337.322975
137,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,110.6817339,1094.109805
138,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,110.6817339,850.8966354
139,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,110.6817339,607.6834655
140,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,110.6817339,364.4702956
141,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,6617.52742,2832.405686,5324.618684,146.3249175,110.6817339,121.2571257
