bvets vehicle performance table 0.01,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13
54,22.59259259,70,112.5,185.862069,254.6875,357.1428571,482.9787234,682.8571429,835.483871,1084,1420,1825,2361.538462
55,26.66666667,75,118.75,193.0172414,263.28125,367.8571429,495.7446809,700,854.8387097,1108,1450,1862.5,2407.692308
56,30.74074074,80,125,200.1724138,271.875,378.5714286,508.5106383,717.1428571,874.1935484,1132,1480,1900,2453.846154
57,34.81481481,85,131.25,207.3275862,280.46875,389.2857143,521.2765957,734.2857143,893.5483871,1156,1510,1937.5,2500
58,38.88888889,90,137.5,214.4827586,289.0625,400,534.0425532,751.4285714,912.9032258,1180,1540,1975,2546.153846
59,42.96296296,95,143.75,221.637931,297.65625,410.7142857,546.8085106,768.5714286,932.2580645,1204,1570,2012.5,2592.307692
60,47.03703704,100,150,228.7931034,306.25,421.4285714,559.5744681,785.7142857,951.6129032,1228,1600,2050,2638.461538
61,51.11111111,105,156.25,235.9482759,314.84375,432.1428571,572.3404255,802.8571429,970.9677419,1252,1630,2087.5,2684.615385
62,55.18518519,110,162.5,243.1034483,323.4375,442.8571429,585.106383,820,990.3225806,1276,1660,2125,2730.769231
63,59.25925926,115,168.75,250.2586207,332.03125,453.5714286,597.8723404,837.1428571,1009.677419,1300,1690,2162.5,2776.923077
64,63.33333333,120,175,257.4137931,340.625,464.2857143,610.6382979,854.2857143,1029.032258,1324,1720,2200,2823.076923
65,67.40740741,125,181.25,264.5689655,349.21875,475,623.4042553,871.4285714,1048.387097,1348,1750,2237.5,2869.230769
66,71.48148148,130,187.5,271.7241379,357.8125,485.7142857,636.1702128,888.5714286,1067.741935,1372,1780,2275,2915.384615
67,75.55555556,135,193.75,278.8793103,366.40625,496.4285714,648.9361702,905.7142857,1087.096774,1396,1810,2312.5,2961.538462
68,79.62962963,140,200,286.0344828,375,507.1428571,661.7021277,922.8571429,1106.451613,1420,1840,2350,3007.692308
69,83.7037037,145,206.25,293.1896552,383.59375,517.8571429,674.4680851,940,1125.806452,1444,1870,2387.5,3053.846154
70,87.77777778,150,212.5,300.3448276,392.1875,528.5714286,687.2340426,957.1428571,1145.16129,1468,1900,2425,3100
71,91.85185185,155,218.75,307.5,400.78125,539.2857143,700,974.2857143,1164.516129,1492,1930,2462.5,3146.153846
72,95.92592593,160,225,314.6551724,409.375,550,712.7659574,991.4285714,1183.870968,1516,1960,2500,3192.307692
73,100,165,231.25,321.8103448,417.96875,560.7142857,725.5319149,1008.571429,1203.225806,1540,1990,2537.5,3238.461538
74,104.0740741,170,237.5,328.9655172,426.5625,571.4285714,738.2978723,1025.714286,1222.580645,1564,2020,2575,3284.615385
75,108.1481481,175,243.75,336.1206897,435.15625,582.1428571,751.0638298,1042.857143,1241.935484,1588,2050,2612.5,3330.769231
76,112.2222222,180,250,343.2758621,443.75,592.8571429,763.8297872,1060,1261.290323,1612,2080,2650,3376.923077
77,116.2962963,185,256.25,350.4310345,452.34375,603.5714286,776.5957447,1077.142857,1280.645161,1636,2110,2687.5,3423.076923
78,120.3703704,190,262.5,357.5862069,460.9375,614.2857143,789.3617021,1094.285714,1300,1660,2140,2725,3469.230769
79,124.4444444,195,268.75,364.7413793,469.53125,625,802.1276596,1111.428571,1319.354839,1684,2170,2762.5,3515.384615
80,128.5185185,200,275,371.8965517,478.125,635.7142857,814.893617,1128.571429,1338.709677,1708,2200,2800,3561.538462
81,132.5925926,205,281.25,379.0517241,486.71875,646.4285714,827.6595745,1145.714286,1358.064516,1732,2230,2837.5,3607.692308
82,136.6666667,210,287.5,386.2068966,495.3125,657.1428571,840.4255319,1162.857143,1377.419355,1756,2260,2875,3653.846154
83,140.7407407,215,293.75,393.362069,503.90625,667.8571429,853.1914894,1180,1396.774194,1780,2290,2912.5,3700
84,144.8148148,220,300,400.5172414,512.5,678.5714286,865.9574468,1197.142857,1416.129032,1804,2320,2950,3746.153846
85,148.8888889,225,306.25,407.6724138,521.09375,689.2857143,878.7234043,1214.285714,1435.483871,1828,2350,2987.5,3792.307692
86,152.962963,230,312.5,414.8275862,529.6875,700,891.4893617,1231.428571,1454.83871,1852,2380,3025,3838.461538
87,157.037037,235,318.75,421.9827586,538.28125,710.7142857,904.2553191,1248.571429,1474.193548,1876,2410,3062.5,3884.615385
88,161.1111111,240,325,429.137931,546.875,721.4285714,917.0212766,1265.714286,1493.548387,1900,2440,3100,3930.769231
89,165.1851852,245,331.25,436.2931034,555.46875,732.1428571,929.787234,1282.857143,1512.903226,1924,2470,3137.5,3976.923077
90,169.2592593,250,337.5,443.4482759,564.0625,742.8571429,942.5531915,1300,1532.258065,1948,2500,3175,4023.076923
91,173.3333333,255,343.75,450.6034483,572.65625,753.5714286,955.3191489,1317.142857,1551.612903,1972,2530,3212.5,4069.230769
92,177.4074074,260,350,457.7586207,581.25,764.2857143,968.0851064,1334.285714,1570.967742,1996,2560,3250,4115.384615
93,181.4814815,265,356.25,464.9137931,589.84375,775,980.8510638,1351.428571,1590.322581,2020,2590,3287.5,4161.538462
94,185.5555556,270,362.5,472.0689655,598.4375,785.7142857,993.6170213,1368.571429,1609.677419,2044,2620,3325,4207.692308
95,189.6296296,275,368.75,479.2241379,607.03125,796.4285714,1006.382979,1385.714286,1629.032258,2068,2650,3362.5,4253.846154
96,193.7037037,280,375,486.3793103,615.625,807.1428571,1019.148936,1402.857143,1648.387097,2092,2680,3400,4300
97,197.7777778,285,381.25,493.5344828,624.21875,817.8571429,1031.914894,1420,1667.741935,2116,2710,3437.5,4346.153846
98,201.8518519,290,387.5,500.6896552,632.8125,828.5714286,1044.680851,1437.142857,1687.096774,2140,2740,3475,4392.307692
99,205.9259259,295,393.75,507.8448276,641.40625,839.2857143,1057.446809,1454.285714,1706.451613,2164,2770,3512.5,4438.461538
100,210,300,400,515,650,850,1070.212766,1471.428571,1725.806452,2188,2800,3550,4484.615385
101,214.0740741,305,406.25,522.1551724,658.59375,860.7142857,1082.978723,1488.571429,1745.16129,2212,2830,3587.5,4530.769231
102,218.1481481,310,412.5,529.3103448,667.1875,871.4285714,1095.744681,1505.714286,1764.516129,2236,2860,3625,4576.923077
103,222.2222222,315,418.75,536.4655172,675.78125,882.1428571,1108.510638,1522.857143,1783.870968,2260,2890,3662.5,4623.076923
104,226.2962963,320,425,543.6206897,684.375,892.8571429,1121.276596,1540,1803.225806,2284,2920,3700,4669.230769
105,230.3703704,325,431.25,550.7758621,692.96875,903.5714286,1134.042553,1557.142857,1822.580645,2308,2950,3737.5,4715.384615
106,234.4444444,330,437.5,557.9310345,701.5625,914.2857143,1146.808511,1574.285714,1841.935484,2332,2980,3775,4761.538462
107,238.5185185,335,443.75,565.0862069,710.15625,925,1159.574468,1591.428571,1861.290323,2356,3010,3812.5,4807.692308
108,242.5925926,340,450,572.2413793,718.75,935.7142857,1172.340426,1608.571429,1880.645161,2380,3040,3850,4853.846154
109,246.6666667,345,456.25,579.3965517,727.34375,946.4285714,1185.106383,1625.714286,1900,2404,3070,3887.5,4900
110,250.7407407,350,462.5,586.5517241,735.9375,957.1428571,1197.87234,1642.857143,1919.354839,2428,3100,3925,4946.153846
111,254.8148148,355,468.75,593.7068966,744.53125,967.8571429,1210.638298,1660,1938.709677,2452,3130,3962.5,4992.307692
112,258.8888889,360,475,600.862069,753.125,978.5714286,1223.404255,1677.142857,1958.064516,2476,3160,4000,5038.461538
113,262.962963,365,481.25,608.0172414,761.71875,989.2857143,1236.170213,1694.285714,1977.419355,2500,3190,4037.5,5084.615385
114,267.037037,370,487.5,615.1724138,770.3125,1000,1248.93617,1711.428571,1996.774194,2524,3220,4075,5130.769231
115,271.1111111,375,493.75,622.3275862,778.90625,1010.714286,1261.702128,1728.571429,2016.129032,2548,3250,4112.5,5176.923077
116,275.1851852,380,500,629.4827586,787.5,1021.428571,1274.468085,1745.714286,2035.483871,2572,3280,4150,5223.076923
117,279.2592593,385,506.25,636.637931,796.09375,1032.142857,1287.234043,1762.857143,2054.83871,2596,3310,4187.5,5269.230769
118,283.3333333,390,512.5,643.7931034,804.6875,1042.857143,1300,1780,2074.193548,2620,3340,4225,5315.384615
119,287.4074074,395,518.75,650.9482759,813.28125,1053.571429,1312.765957,1797.142857,2093.548387,2644,3370,4262.5,5361.538462
120,291.4814815,400,525,658.1034483,821.875,1064.285714,1325.531915,1814.285714,2112.903226,2668,3400,4300,5407.692308
121,295.5555556,405,531.25,665.2586207,830.46875,1075,1338.297872,1831.428571,2132.258065,2692,3430,4337.5,5453.846154
122,299.6296296,410,537.5,672.4137931,839.0625,1085.714286,1351.06383,1848.571429,2151.612903,2716,3460,4375,5500
123,303.7037037,415,543.75,679.5689655,847.65625,1096.428571,1363.829787,1865.714286,2170.967742,2740,3490,4412.5,5546.153846
124,307.7777778,420,550,686.7241379,856.25,1107.142857,1376.595745,1882.857143,2190.322581,2764,3520,4450,5592.307692
125,311.8518519,425,556.25,693.8793103,864.84375,1117.857143,1389.361702,1900,2209.677419,2788,3550,4487.5,5638.461538
126,315.9259259,430,562.5,701.0344828,873.4375,1128.571429,1402.12766,1917.142857,2229.032258,2812,3580,4525,5684.615385
127,320,435,568.75,708.1896552,882.03125,1139.285714,1414.893617,1934.285714,2248.387097,2836,3610,4562.5,5730.769231
128,324.0740741,440,575,715.3448276,890.625,1150,1427.659574,1951.428571,2267.741935,2860,3640,4600,5776.923077
129,328.1481481,445,581.25,722.5,899.21875,1160.714286,1440.425532,1968.571429,2287.096774,2884,3670,4637.5,5823.076923
130,332.2222222,450,587.5,729.6551724,907.8125,1171.428571,1453.191489,1985.714286,2306.451613,2908,3700,4675,5869.230769
131,336.2962963,455,593.75,736.8103448,916.40625,1182.142857,1465.957447,2002.857143,2325.806452,2932,3730,4712.5,5915.384615
132,340.3703704,460,600,743.9655172,925,1192.857143,1478.723404,2020,2345.16129,2956,3760,4750,5961.538462
133,344.4444444,465,606.25,751.1206897,933.59375,1203.571429,1491.489362,2037.142857,2364.516129,2980,3790,4787.5,6007.692308
134,348.5185185,470,612.5,758.2758621,942.1875,1214.285714,1504.255319,2054.285714,2383.870968,3004,3820,4825,6053.846154
135,352.5925926,475,618.75,765.4310345,950.78125,1225,1517.021277,2071.428571,2403.225806,3028,3850,4862.5,6100
136,356.6666667,480,625,772.5862069,959.375,1235.714286,1529.787234,2088.571429,2422.580645,3052,3880,4900,6146.153846
137,360.7407407,485,631.25,779.7413793,967.96875,1246.428571,1542.553191,2105.714286,2441.935484,3076,3910,4937.5,6192.307692
138,364.8148148,490,637.5,786.8965517,976.5625,1257.142857,1555.319149,2122.857143,2461.290323,3100,3940,4975,6238.461538
139,368.8888889,495,643.75,794.0517241,985.15625,1267.857143,1568.085106,2140,2480.645161,3124,3970,5012.5,6284.615385
140,372.962963,500,650,801.2068966,993.75,1278.571429,1580.851064,2157.142857,2500,3148,4000,5050,6330.769231
141,377.037037,505,656.25,808.362069,1002.34375,1289.285714,1593.617021,2174.285714,2519.354839,3172,4030,5087.5,6376.923077
142,381.1111111,510,662.5,815.5172414,1010.9375,1300,1606.382979,2191.428571,2538.709677,3196,4060,5125,6423.076923
143,385.1851852,515,668.75,822.6724138,1019.53125,1310.714286,1619.148936,2208.571429,2558.064516,3220,4090,5162.5,6469.230769
144,389.2592593,520,675,829.8275862,1028.125,1321.428571,1631.914894,2225.714286,2577.419355,3244,4120,5200,6515.384615
145,393.3333333,525,681.25,836.9827586,1036.71875,1332.142857,1644.680851,2242.857143,2596.774194,3268,4150,5237.5,6561.538462
146,397.4074074,530,687.5,844.137931,1045.3125,1342.857143,1657.446809,2260,2616.129032,3292,4180,5275,6607.692308
147,401.4814815,535,693.75,851.2931034,1053.90625,1353.571429,1670.212766,2277.142857,2635.483871,3316,4210,5312.5,6653.846154
148,405.5555556,540,700,858.4482759,1062.5,1364.285714,1682.978723,2294.285714,2654.83871,3340,4240,5350,6700
149,409.6296296,545,706.25,865.6034483,1071.09375,1375,1695.744681,2311.428571,2674.193548,3364,4270,5387.5,6746.153846
150,413.7037037,550,712.5,872.7586207,1079.6875,1385.714286,1708.510638,2328.571429,2693.548387,3388,4300,5425,6792.307692
151,417.7777778,555,718.75,879.9137931,1088.28125,1396.428571,1721.276596,2345.714286,2712.903226,3412,4330,5462.5,6838.461538
152,421.8518519,560,725,887.0689655,1096.875,1407.142857,1734.042553,2362.857143,2732.258065,3436,4360,5500,6884.615385
153,425.9259259,565,731.25,894.2241379,1105.46875,1417.857143,1746.808511,2380,2751.612903,3460,4390,5537.5,6930.769231
154,430,570,737.5,901.3793103,1114.0625,1428.571429,1759.574468,2397.142857,2770.967742,3484,4420,5575,6976.923077
155,434.0740741,575,743.75,908.5344828,1122.65625,1439.285714,1772.340426,2414.285714,2790.322581,3508,4450,5612.5,7023.076923
156,438.1481481,580,750,915.6896552,1131.25,1450,1785.106383,2431.428571,2809.677419,3532,4480,5650,7069.230769
157,442.2222222,585,756.25,922.8448276,1139.84375,1460.714286,1797.87234,2448.571429,2829.032258,3556,4510,5687.5,7115.384615
158,446.2962963,590,762.5,930,1148.4375,1471.428571,1810.638298,2465.714286,2848.387097,3580,4540,5725,7161.538462
159,450.3703704,595,768.75,937.1551724,1157.03125,1482.142857,1823.404255,2482.857143,2867.741935,3604,4570,5762.5,7207.692308
160,454.4444444,600,775,944.3103448,1165.625,1492.857143,1836.170213,2500,2887.096774,3628,4600,5800,7253.846154
