bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,P1Q12,P23,Q34,P45,Q56,P67,Q78,P89,Q910,P1011,Q1112,P1213,Q1314,P1415,Q1516,P1617Q17,WF1,WF2,WF3,WF4
10,146.0227273,190,245,279.5931034,319.7409326,366.5919283,418.2580645,469.5652174,545.4972592,630.2549736,800,1236.096479,1515,2746.240218,9643.435794,7973.891735,6385.066667,316.4356436,496.7281106,558.365651,659.842852,782.5529249,961.450285,1269.402985,2169.589977,3721.962617,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
11,143.6241611,186.1506276,238.5645161,272.3053892,310.6323304,355.7734685,405.8375635,453.8297872,526.2633997,602.8673835,751.5254237,1119.066937,1353.548387,2251.77665,9643.435794,7973.891735,6385.066667,312.385637,488.500114,548.5863268,647.6548383,765.6348237,935.5001595,1222.175594,2022.549817,3321.076813,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
12,141.2995595,182.4590164,232.2929936,265.2095085,301.8072289,345.3206239,393.8202247,438.75,507.8651685,577.1891555,707.7419355,1020.462509,1220.588235,1901.854081,9643.435794,7973.891735,6385.066667,308.3870968,480.4465494,539.025,635.7524138,749.221999,910.6102154,1177.826266,1892.868076,2994.854369,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
13,139.0455531,178.9156627,226.1792453,258.2979852,293.2525952,335.2151683,382.1867322,424.2857143,490.2492669,553.065101,668,936.2494586,1109.189189,1641.176471,9324.590164,7973.891735,6385.066667,304.4390481,472.5619281,529.6744617,624.1256571,733.2921479,886.7167835,1136.099694,1777.642276,2724.213604,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
14,136.8589744,175.511811,220.2173913,251.5637268,284.9561831,325.4400671,370.9189843,410.4,473.3668342,530.3582652,631.7647059,863.4914228,1014.5,1439.463387,4700,7973.891735,6385.066667,300.5405405,464.8409894,520.5278174,612.7651007,717.824261,863.7611925,1096.769901,1674.58287,2496.064657,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
15,134.7368421,172.2393822,214.4018405,245,276.9064748,315.9793814,360,397.0588235,457.1729958,508.9473256,598.5915493,800,933.0232558,1278.741212,3124.022346,7973.891735,6385.066667,296.6906475,457.2786885,511.5784699,601.6617059,702.7985303,841.6892886,1059.636146,1581.859558,2301.128818,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
16,132.6763485,169.0909091,208.7272727,238.6004083,269.0926276,306.8181818,349.4138335,384.2307692,441.6264645,488.7244232,568.1081081,744.1108545,862.173913,1147.667528,2329.411765,7973.891735,6385.066667,292.8884652,449.8701861,502.8201037,590.8068386,688.1962641,820.4510084,1024.519495,1497.991642,2132.645602,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
17,130.6748466,166.0594796,203.1886228,232.358871,261.5044248,297.942469,339.1454965,371.8867925,426.6891892,469.5933457,540,694.5357023,800,1038.731219,1850.505051,5668.085106,6385.066667,289.1331123,442.6108374,494.24667,580.1922471,673.9998095,800,991.2599407,1421.768356,1985.57273,21969.5221,26756.83075,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
18,128.7298387,163.1386861,197.7810651,226.2696042,254.1322314,289.3391031,329.1808874,360,412.3260437,451.4679966,514,650.2617801,745,946.7607441,1530.337079,3286.956522,6385.066667,285.4237288,435.4961832,485.8523726,569.8100407,660.1924816,780.2932855,959.7139633,1352.190039,1856.072874,21969.5221,20815.80645,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
19,126.8389662,160.3225806,192.5,220.3271028,246.9669534,280.9957381,319.5067265,348.5454545,398.5045514,434.2710997,489.8795181,610.4819277,696,868.0790288,1301.204819,2305.263158,6385.066667,281.7594759,428.52194,477.6316552,559.6526707,646.7584976,761.2909593,929.7524595,1288.424045,1741.174022,15015.02793,11633.15874,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
20,125,157.6056338,187.3410405,214.5261239,240,272.9007634,310.1104972,337.5,385.1946394,417.9330982,467.4418605,574.5449334,652.0689655,800,1129.113924,1769.491525,6385.066667,278.1395349,421.6839917,469.579189,549.7129118,633.6829171,742.9559186,901.258978,1229.771265,1638.538576,8869.827586,8043.975904,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
21,123.2108317,154.982699,182.3,208.8616715,233.2232497,265.0432493,300.9803922,326.8421053,372.3684211,402.3912137,446.5168539,541.9196062,612.4590164,740.515807,995.1219512,1432.044199,3537.777778,274.5631068,414.9783817,461.6898608,539.9838449,620.951586,725.2536211,874.1282056,1175.640385,1546.302654,6276.732673,6130.670103,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
22,121.4694656,152.4489796,177.3728814,203.3289817,226.6290182,257.4128984,292.1052632,316.5517241,360,387.5886405,426.9565217,512.168344,576.5625,688.095471,887.8378378,1200,2266.666667,271.0294118,408.4013051,453.9587629,530.4588413,608.5510861,708.1518685,848.2646677,1125.527883,1462.961877,4846.452085,4941.641999,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
23,119.7740113,150,172.5558659,197.9235101,220.21003,250,283.4745763,306.6101695,348.0652963,373.4738517,408.6315789,484.9273911,543.880597,641.5512465,800,1030.645161,1664.561404,267.5376884,401.9491012,446.3811821,521.1315474,596.4686875,691.6206105,823.5816046,1079.00232,1387.288678,3940.080669,4131.083455,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
24,118.1226766,147.6315789,167.8453039,192.6409186,213.9593909,242.795389,275.0783699,297,336.5418895,360,391.4285714,459.8918919,514,599.9475387,726.7605634,901.598579,1313.333333,264.0871935,395.6182473,438.952591,511.9958706,584.6923052,675.631769,800,1035.691886,1318.271435,3314.318182,3543.103448,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
25,116.5137615,145.3398058,163.2377049,187.4770642,207.8705637,235.7904085,266.9072165,287.704918,325.4088785,347.1243983,375.2475248,436.8044332,486.5753425,562.537363,664.7594278,800,1083.218391,260.6772009,389.4053518,431.668638,503.0459662,573.2104586,660.1590784,777.4477357,995.2744398,1255.068989,2856.319703,3097.090182,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
26,114.9456522,143.1210191,158.7297297,182.4279882,201.9373454,228.9768746,258.9521872,278.7096774,314.6467547,334.8080677,360,415.4461607,461.3157895,528.7170975,611.5942029,717.9340029,920.7843137,257.3070018,383.3071485,424.5251397,494.2762248,562.0122345,645.1779424,755.8588549,957.4694882,1196.976189,2506.594678,2747.165791,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
27,113.4168157,140.9717868,154.3181818,177.4899058,196.1538462,222.3470446,251.2048193,270,304.2372881,323.0153436,345.6074766,395.6298201,437.9746835,497.9936642,565.5016911,650.2617801,800,253.9759036,377.3204904,417.5180723,485.6812605,551.087252,630.6653028,735.172918,922.0316623,1143.397468,2230.807036,2465.297907,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
28,111.9257951,138.8888889,150,172.6591968,190.5144695,215.893588,243.6570862,261.5625,294.1634241,311.7135307,332,377.194252,416.3414634,469.9603318,525.1585624,593.5018051,706.6666667,250.6832298,371.4423448,410.6435644,477.2559,540.4256308,616.5995213,715.3344378,888.7453875,1093.826358,2007.751092,2233.391765,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
29,110.4712042,136.8693009,145.7722513,167.9323968,185.0138944,209.6095591,236.3013699,253.3846154,284.4091904,300.8726003,319.1150442,360,396.2352941,444.278607,489.5522388,545.2115813,632.3809524,247.4283194,365.6697879,403.8978895,468.9951722,530.0179614,602.9602721,696.2923818,857.4204947,1047.829423,1823.622776,2039.245057,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
30,109.0517241,134.9101796,141.6321244,163.3061889,179.6470588,203.4883721,229.1304348,245.4545455,274.9596123,290.464924,306.8965517,343.9257756,377.5,420.6645003,457.8947368,503.626943,571.8518519,244.2105263,360,397.2774597,460.8942984,519.8552771,589.7284436,677.9997348,827.8885848,1005.033557,1669.049489,1874.32994,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
31,107.6660988,133.0088496,137.5769231,158.7773958,174.4091437,197.5237783,222.1374046,237.761194,265.8006363,280.4650383,295.2941176,328.8655934,360,398.8779804,429.5636687,467.4418605,521.5819209,241.0292194,354.4302609,390.7788189,452.948683,509.9290285,576.8860494,660.4131103,800,965.1158374,1537.443946,1732.506763,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
32,106.3131313,131.1627907,133.6040609,154.3429726,169.295559,191.7098446,215.3157399,230.2941176,256.9190601,270.8494367,284.2622951,314.7264314,343.6170213,378.7147855,404.0609137,435.6687898,479.1666667,237.8837814,348.9579457,384.3986371,445.1539049,500.2310595,564.4161461,643.4924078,773.6212872,927.7953646,1424.041065,1609.242762,16010.82814,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
33,104.9916805,129.3696275,129.7110553,150,164.3019296,186.0409338,208.6592179,223.0434783,248.3024691,261.5963855,273.76,301.4263074,328.2474227,360,380.9830782,407.5471698,442.8985507,234.7736093,343.5805202,378.1337047,437.5057093,490.7535848,552.3027594,627.2005072,748.6330628,892.8266404,1325.308642,1501.118644,9765.09434,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
34,103.7006579,127.6271186,125.8955224,145.745678,159.4240838,180.5116867,202.1619135,216,239.9391789,252.6857595,263.75,288.8926892,313.8,342.5829668,360,382.4817518,411.5315315,231.6981132,338.2955377,371.9809269,430,481.4891691,540.5308156,611.5029968,724.9282058,859.9941617,1238.572844,1405.506467,6036.202532,16352.72899,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
35,102.4390244,125.9331476,122.1551724,141.5773196,154.6580407,175.1170047,195.8181818,209.1549296,231.8181818,244.098896,254.1984733,277.0611702,300.1941748,326.3332229,340.8388521,360,384.1350211,228.6567164,333.1006346,365.9373186,422.6328319,472.4307077,529.0860786,596.3679309,702.410323,829.1079752,1161.7724,1320.353225,4358.671714,8612.420382,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
36,101.2057878,124.2857143,118.4878049,137.4923454,150,169.8520345,189.6226415,202.5,223.929099,235.8184641,245.0746269,265.8743633,287.3584906,311.1372256,323.2722144,339.722019,360,225.648855,327.9935275,360,415.4004044,463.5714084,517.9550933,581.765613,680.9924389,800,1093.292683,1244.031773,3404.911839,5610,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
37,100,122.6829268,114.8913043,133.4882781,145.4463318,164.7121535,183.5701599,196.0273973,216.2621359,227.8283485,236.350365,255.2809696,275.2293578,296.8956954,307.1090047,321.3389121,338.576779,222.6739772,322.9720093,354.1661914,408.2990544,454.9047743,507.1251321,567.6684006,660.5958729,772.5209675,1031.850951,1175.235849,2789.632973,4150.619195,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
38,98.82075472,121.1229947,111.3636364,129.5627376,140.9935668,159.6929561,177.6558385,189.7297297,208.8080421,220.1135442,228,245.2349919,263.75,283.5214447,292.1875,304.5969354,319.4326241,219.7315436,318.0339463,348.4332095,401.3252505,446.4245882,496.5841466,554.0505314,641.1492734,746.5378612,976.4152448,1112.90469,2359.803922,3287.931034,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
39,97.66718507,119.6042216,107.9028436,125.7134364,136.6383881,154.790241,171.875,183.6,201.5580737,212.6600628,220,235.6950673,252.8695652,270.9375913,278.369906,289.2857143,302.2222222,216.8210263,313.1772751,342.7984626,394.475587,438.1248974,486.3207231,540.8879656,622.587784,721.9317632,926.1459521,1056.167946,2042.561442,2718.09816,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
40,96.53846154,118.125,104.5070423,121.9381747,132.3776224,150,166.223176,177.6315789,194.503959,205.4548478,212.3287671,226.6238974,242.5423729,259.0760792,265.5380895,275.2293578,286.6666667,213.9419087,308.4,337.2594474,387.7467786,430,476.3240409,528.1582447,604.8523207,698.5960348,880.3529924,1004.304793,1798.792737,2313.636364,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
41,95.43378995,116.6838046,101.1744186,118.2348367,128.2082324,145.3184065,160.6960951,171.8181818,187.6378676,198.4856983,204.966443,217.9877615,232.7272727,247.8764479,253.5901926,262.279671,272.5382263,211.0936855,303.7001898,331.8137448,381.1356545,422.0444317,466.5838347,515.840363,587.8889438,676.4347712,838.4639455,956.7131384,1605.621916,2011.679389,12554.74031,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
42,94.35240964,115.2791878,97.90322581,114.6013865,124.1273101,140.7418056,155.2896725,166.1538462,180.952381,191.7411997,197.8947368,209.7560976,223.3870968,237.2848008,242.4379233,250.3109101,259.6491228,208.2758621,299.0759754,326.4590164,374.6391543,414.2529538,457.0903593,503.9146528,571.6483099,655.3614843,800,912.8861478,1448.776662,1777.642276,11635.71429,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
43,93.29359165,113.9097744,94.69178082,111.0358642,120.1320691,136.2667046,150,160.6329114,174.4404655,185.2106621,191.0967742,201.9011407,214.488189,227.2529386,232.0043692,239.2156863,247.8431373,205.4879543,294.5255474,321.1930015,368.2543224,406.6205413,447.834357,492.3626787,556.0851927,635.2979746,764.5575703,872.3941197,1318.891119,1590.9257,6021.446029,12324.5541,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
44,92.25663717,112.5742574,91.53846154,107.5363825,116.2198391,131.8897638,144.8233361,155.25,168.0954485,178.8840628,184.556962,194.3976104,206,217.7376257,222.2222222,228.9017341,236.9892473,202.7294882,290.0471539,316.0135135,361.9783043,399.1423723,438.8070275,481.1671432,541.1580621,616.1733615,731.7940814,834.870351,1209.564356,1438.495575,4054.290429,6484.545455,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
45,91.24087591,111.2713936,88.44170404,104.1011236,112.3880597,127.6077886,139.7560976,150,161.9109948,172.7519958,178.2608696,187.2224386,197.8947368,208.6999669,213.0323243,219.2893401,226.9767442,200,285.6390977,310.9184373,355.8083417,391.8138179,430,470.3118,526.8287142,597.9232465,701.4168597,800,1116.273167,1311.702128,3051.723064,4235.714286,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
46,90.24566474,110,85.4,100.7283355,108.6342745,123.4177215,134.7948512,144.8780488,155.8810857,166.8056246,172.195122,180.3545333,190.1470588,200.1048768,204.3824701,210.3092784,217.7114428,197.2990354,281.2997347,305.9057259,349.7417689,384.6304328,421.4053074,459.7813753,513.0619452,580.488989,673.1743666,767.5112312,1035.730568,1204.579439,2443.964655,3141.150442,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
47,89.27038627,108.7589499,82.41189427,97.41632953,104.9561261,119.3166349,129.9363057,139.8795181,150,161.0366399,166.3473054,173.7745708,182.7338129,191.9206237,196.2264151,201.9011407,209.1127098,194.6261495,277.0274716,300.9733983,343.7760087,377.5879456,413.0153622,449.5614961,499.8252621,563.8170766,646.8492165,737.1681147,965.4904785,1112.879445,2036.16799,2493.661972,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
48,88.31444759,107.5471698,79.47598253,94.16347731,101.3513514,115.3017241,125.177305,135,144.2622951,155.4372209,160.7058824,167.4648145,175.6338028,184.1184388,188.523048,194.011976,201.1111111,191.9809069,272.820764,296.1195361,337.9085689,370.6822513,404.8229341,439.638625,487.088627,547.8585768,622.2525707,708.7648875,903.6949764,1033.495146,1743.588517,2065.789474,10141.04997,11618.18073,12815.32105,15012.63804,15427.38799
49,87.3772791,106.3636364,76.59090909,90.96820809,97.81777636,111.3703013,120.5148206,130.2352941,138.6627907,150,155.2601156,161.4089552,168.8275862,176.672178,181.2356979,186.5951743,193.6465324,189.3628809,268.6781144,291.3422819,332.1370388,363.9094026,396.8211292,430,474.8242293,532.5686571,599.2196007,682.1212812,848.9075432,964.1015921,1523.440939,1762,5925.304348,11618.18073,12815.32105,15012.63804,15427.38799
50,86.45833333,105.2073733,73.75536481,87.82900627,94.3533123,107.5197889,115.9459459,125.5813953,133.1965531,144.7180302,150,155.5919705,162.2972973,169.5580293,174.3315508,179.6095445,186.6666667,186.7716535,264.5980707,286.6398361,326.4590858,357.2656027,389.003371,420.63358,463.0062834,517.9061642,577.6057895,657.0786921,800,902.9243937,1351.790711,1535.152838,3741.167665,11618.18073,12815.32105,15012.63804,15427.38799
51,85.55708391,104.0774487,70.96808511,84.74440895,90.95595127,103.7477148,111.4678899,121.0344828,127.8588808,139.5847556,144.9162011,150,156.0264901,162.7542586,167.781155,173.0185497,180.1257862,184.2068155,260.5792245,282.0104552,320.8724525,350.747198,381.3633817,411.5279945,451.6108471,503.8332547,557.2838964,633.4970214,756.0739923,848.5858586,1214.202302,1359.302326,2733.900838,6780.35461,12815.32105,15012.63804,15427.38799
52,84.67302452,102.972973,70,81.7130037,87.62376238,100.0517063,107.0779712,116.5909091,122.6452906,134.5939845,140,144.6202353,150,156.2409876,161.5580017,166.7896679,173.9837398,181.6679657,256.6202091,277.4524496,315.3749532,344.3506717,373.8951661,402.6724976,440.6156605,490.3150685,538.1414505,611.2520533,716.4053027,800,1101.452155,1218.989547,2154.187249,4286.822881,12815.32105,15012.63804,15427.38799
53,83.80566802,101.8930958,70,78.73342638,84.35488814,96.42948554,102.7736132,112.247191,117.5515055,129.7398641,135.2432432,139.4408222,144.2038217,150,155.638166,160.8938547,168.2051282,179.1547111,252.7196982,272.964181,309.9644718,338.0726372,366.5929956,394.0569257,430,477.3194405,520.0786677,590.2332657,680.4036082,756.2992126,1007.371188,1104.43038,1777.462687,3135.817175,12815.32105,15012.63804,15427.38799
54,82.95454545,100.8370044,70,75.80435911,81.14754098,92.87886467,98.55233853,108,112.573443,125.0168577,130.6382979,134.450773,138.625,144.0145715,150,155.3050913,162.7586207,176.6666667,248.8764045,268.5440613,304.6389583,331.9098323,359.4513932,385.6716586,419.7445486,464.8166453,503.0067114,570.3419942,647.5829035,716.7820069,927.6770685,1009.130435,1512.995968,2473.075397,7030.660377,15012.63804,15427.38799
55,82.1192053,99.80392157,70,72.9245283,78,89.39774153,94.41176471,103.8461538,107.7072037,120.419724,126.1780105,129.6398892,133.2515337,138.2693198,144.6238677,150,157.6163873,174.2034549,245.0890782,264.19055,299.3964268,325.8591132,352.4651206,377.5075836,409.8312784,452.77917,486.8462309,551.4898832,617.5394333,680.8750688,859.3041439,928.6096257,1317.117038,2042.276968,4558.658537,10321.64557,15427.38799
56,81.2992126,98.79310345,70,70.09270284,74.91060787,85.98409543,90.34959942,99.7826087,102.9490617,115.9434971,121.8556701,124.9986917,128.0722892,132.7500729,139.4919169,144.9575175,152.7536232,171.7647059,241.3565057,259.9021526,294.2349529,319.9174498,345.6291645,369.5560625,400.2433446,441.1815123,471.5261283,533.5975738,589.934999,648.1052632,800,859.6774194,1166.206897,1739.793814,3378.333333,6150,15427.38799
57,80.49414824,97.80383795,70,70,71.87776794,82.63598326,86.36363636,95.80645161,98.29545455,111.5834691,117.6649746,120.5183585,123.0769231,127.4437524,134.5878811,140.1586157,148.1481481,169.350057,237.677508,255.6774194,289.1526709,314.08192,338.9387253,361.8089011,390.9649903,430,456.9825127,516.5935873,564.4841722,618.0786687,748.0725683,800,1046.37453,1515.728144,2687,4391.408751,15427.38799
58,79.70360825,96.83544304,70,70,70,79.35153584,82.45175125,91.91489362,93.7429749,107.3351734,113.6,116.1906688,118.255814,122.3382697,129.8969072,135.5860612,143.7800687,166.9591528,234.05094,251.5149428,284.1477722,308.3497053,332.3892055,354.258321,381.98146,419.2126298,443.1578099,500.4133705,540.9443888,590.464666,702.2260783,747.8308026,948.9161193,1343.085015,2232.928994,3421.854305,15427.38799
59,78.92720307,95.88726514,70,70,70,76.12895436,78.61189802,88.10526316,89.28836175,103.1943692,109.6551724,112.0079523,113.6,117.4224344,125.4054054,131.2242091,139.6314908,164.5916447,230.4756887,247.413357,279.2185028,302.718086,325.9761993,346.8969339,373.2789212,408.7989226,430,484.998477,519.1081938,564.9837134,661.4514543,701.8367347,868.1005199,1205.984593,1911.868687,2807.606491,15427.38799
60,78.16455696,94.95867769,70,70,70,72.96650718,74.84210526,84.375,84.92849285,99.15702803,105.8252427,107.9630444,109.1011236,112.6858722,121.1009174,127.0588235,135.6862745,162.247191,226.9506726,243.3713355,274.3631613,297.1844371,319.6954826,339.7177167,364.8443934,398.7397941,417.461964,470.2958618,498.7971107,541.3978495,624.9511805,660.982659,800,1094.475292,1672.84141,2383.6,10031.95122
61,77.4153074,94.04907975,70,70,70,70,71.14047288,80.72164948,80.66037736,95.21931986,102.1052632,104.049245,104.7513812,108.1189521,116.9720014,123.0769231,131.9298246,159.9254566,223.4748404,239.3875901,269.580097,291.7462241,313.5430039,332.7139901,356.6656835,389.0174377,405.5009196,456.2572711,479.8567529,519.5032397,592.0866192,624.4525547,741.8326261,1002.003514,1487.96875,2073.305294,6136.764188
62,76.67910448,93.15789474,70,70,70,70,70,77.14285714,76.48114901,91.37760159,98.49056604,100.2602811,100.5434783,103.7127206,113.0081301,119.2666452,128.3489097,157.6261128,220.0471698,235.4608696,264.8677078,286.4009993,307.5148752,325.879397,348.731327,379.6152196,394.0779335,442.8387136,462.1528912,499.1242702,562.340323,591.5944541,691.5728477,924.0773985,1340.719298,1836.387435,4439.519231
63,75.95561036,92.28456914,70,70,70,70,70,73.63636364,72.3880597,87.62840554,94.97674419,96.5902739,96.47058824,99.45884363,109.1996015,115.6171285,124.9315068,155.3488372,216.6666667,231.5899582,260.2244389,281.1463978,301.6073645,319.207884,341.0305344,370.5175835,383.1574981,430,445.5682687,480.1088271,535.2885906,561.8811881,647.7107915,857.5151763,1220.66879,1649.570815,3489.236234
