Bvets Vehicle Performance Table 1.00
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
#a,4,4.879120879,5.700934579,6.283783784,7.142857143,8.219178082,9.523809524,10.79136691,12.24489796,14.28571429,15.78947368,18.18181818,19.10828025,21.58273381,24.3902439,26.78571429,30.6122449,34.09090909,37.03703704,42.25352113,48.38709677,53.57142857,66.66666667,68.18181818
#b,-160,-165.9120879,-165.0934579,-156.3783784,-167.8571429,-163.0136986,-171.4285714,-169.7841727,-169.3877551,-178.5714286,-168.4210526,-172.7272727,-163.6942675,-169.7841727,-173.1707317,-167.8571429,-181.6326531,-179.5454545,-166.6666667,-183.0985915,-190.3225806,-178.5714286,-233.3333333,-227.2727273
28,0,0,0,0,0,0,95.23809524,132.3741007,173.4693878,221.4285714,273.6842105,336.3636364,371.3375796,434.5323741,509.7560976,582.1428571,675.5102041,775,870.3703704,1000,1164.516129,1321.428571,1633.333333,1681.818182
30,0,0,0,0,0,83.56164384,114.2857143,153.9568345,197.9591837,250,305.2631579,372.7272727,409.5541401,477.6978417,558.5365854,635.7142857,736.7346939,843.1818182,944.4444444,1084.507042,1261.290323,1428.571429,1766.666667,1818.181818
32,0,0,0,0,0,100,133.3333333,175.5395683,222.4489796,278.5714286,336.8421053,409.0909091,447.7707006,520.8633094,607.3170732,689.2857143,797.9591837,911.3636364,1018.518519,1169.014085,1358.064516,1535.714286,1900,1954.545455
34,0,0,0,0,75,116.4383562,152.3809524,197.1223022,246.9387755,307.1428571,368.4210526,445.4545455,485.9872611,564.028777,656.097561,742.8571429,859.1836735,979.5454545,1092.592593,1253.521127,1454.83871,1642.857143,2033.333333,2090.909091
36,0,0,0,0,89.28571429,132.8767123,171.4285714,218.705036,271.4285714,335.7142857,400,481.8181818,524.2038217,607.1942446,704.8780488,796.4285714,920.4081633,1047.727273,1166.666667,1338.028169,1551.612903,1750,2166.666667,2227.272727
38,0,0,0,82.40540541,103.5714286,149.3150685,190.4761905,240.2877698,295.9183673,364.2857143,431.5789474,518.1818182,562.4203822,650.3597122,753.6585366,850,981.6326531,1115.909091,1240.740741,1422.535211,1648.387097,1857.142857,2300,2363.636364
40,0,0,0,94.97297297,117.8571429,165.7534247,209.5238095,261.8705036,320.4081633,392.8571429,463.1578947,554.5454545,600.6369427,693.5251799,802.4390244,903.5714286,1042.857143,1184.090909,1314.814815,1507.042254,1745.16129,1964.285714,2433.333333,2500
42,0,0,0,107.5405405,132.1428571,182.1917808,228.5714286,283.4532374,344.8979592,421.4285714,494.7368421,590.9090909,638.8535032,736.6906475,851.2195122,957.1428571,1104.081633,1252.272727,1388.888889,1591.549296,1841.935484,2071.428571,2566.666667,2636.363636
44,0,0,85.74766355,120.1081081,146.4285714,198.630137,247.6190476,305.0359712,369.3877551,450,526.3157895,627.2727273,677.0700637,779.8561151,900,1010.714286,1165.306122,1320.454545,1462.962963,1676.056338,1938.709677,2178.571429,2700,2772.727273
46,0,0,97.14953271,132.6756757,160.7142857,215.0684932,266.6666667,326.618705,393.877551,478.5714286,557.8947368,663.6363636,715.2866242,823.0215827,948.7804878,1064.285714,1226.530612,1388.636364,1537.037037,1760.56338,2035.483871,2285.714286,2833.333333,2909.090909
48,0,0,108.5514019,145.2432432,175,231.5068493,285.7142857,348.2014388,418.3673469,507.1428571,589.4736842,700,753.5031847,866.1870504,997.5609756,1117.857143,1287.755102,1456.818182,1611.111111,1845.070423,2132.258065,2392.857143,2966.666667,3045.454545
50,0,78.04395604,119.953271,157.8108108,189.2857143,247.9452055,304.7619048,369.7841727,442.8571429,535.7142857,621.0526316,736.3636364,791.7197452,909.352518,1046.341463,1171.428571,1348.979592,1525,1685.185185,1929.577465,2229.032258,2500,3100,3181.818182
52,0,87.8021978,131.3551402,170.3783784,203.5714286,264.3835616,323.8095238,391.3669065,467.3469388,564.2857143,652.6315789,772.7272727,829.9363057,952.5179856,1095.121951,1225,1410.204082,1593.181818,1759.259259,2014.084507,2325.806452,2607.142857,3233.333333,3318.181818
54,0,97.56043956,142.7570093,182.9459459,217.8571429,280.8219178,342.8571429,412.9496403,491.8367347,592.8571429,684.2105263,809.0909091,868.1528662,995.6834532,1143.902439,1278.571429,1471.428571,1661.363636,1833.333333,2098.591549,2422.580645,2714.285714,3366.666667,3454.545455
56,0,107.3186813,154.1588785,195.5135135,232.1428571,297.260274,361.9047619,434.5323741,516.3265306,621.4285714,715.7894737,845.4545455,906.3694268,1038.848921,1192.682927,1332.142857,1532.653061,1729.545455,1907.407407,2183.098592,2519.354839,2821.428571,3500,3590.909091
58,0,117.0769231,165.5607477,208.0810811,246.4285714,313.6986301,380.952381,456.1151079,540.8163265,650,747.3684211,881.8181818,944.5859873,1082.014388,1241.463415,1385.714286,1593.877551,1797.727273,1981.481481,2267.605634,2616.129032,2928.571429,3633.333333,3727.272727
60,80,126.8351648,176.9626168,220.6486486,260.7142857,330.1369863,400,477.6978417,565.3061224,678.5714286,778.9473684,918.1818182,982.8025478,1125.179856,1290.243902,1439.285714,1655.102041,1865.909091,2055.555556,2352.112676,2712.903226,3035.714286,3766.666667,3863.636364
62,88,136.5934066,188.364486,233.2162162,275,346.5753425,419.047619,499.2805755,589.7959184,707.1428571,810.5263158,954.5454545,1021.019108,1168.345324,1339.02439,1492.857143,1716.326531,1934.090909,2129.62963,2436.619718,2809.677419,3142.857143,3900,4000
64,96,146.3516484,199.7663551,245.7837838,289.2857143,363.0136986,438.0952381,520.8633094,614.2857143,735.7142857,842.1052632,990.9090909,1059.235669,1211.510791,1387.804878,1546.428571,1777.55102,2002.272727,2203.703704,2521.126761,2906.451613,3250,4033.333333,4136.363636
66,104,156.1098901,211.1682243,258.3513514,303.5714286,379.4520548,457.1428571,542.4460432,638.7755102,764.2857143,873.6842105,1027.272727,1097.452229,1254.676259,1436.585366,1600,1838.77551,2070.454545,2277.777778,2605.633803,3003.225806,3357.142857,4166.666667,4272.727273
68,112,165.8681319,222.5700935,270.9189189,317.8571429,395.890411,476.1904762,564.028777,663.2653061,792.8571429,905.2631579,1063.636364,1135.66879,1297.841727,1485.365854,1653.571429,1900,2138.636364,2351.851852,2690.140845,3100,3464.285714,4300,4409.090909
70,120,175.6263736,233.9719626,283.4864865,332.1428571,412.3287671,495.2380952,585.6115108,687.755102,821.4285714,936.8421053,1100,1173.88535,1341.007194,1534.146341,1707.142857,1961.22449,2206.818182,2425.925926,2774.647887,3196.774194,3571.428571,4433.333333,4545.454545
72,128,185.3846154,245.3738318,296.0540541,346.4285714,428.7671233,514.2857143,607.1942446,712.244898,850,968.4210526,1136.363636,1212.101911,1384.172662,1582.926829,1760.714286,2022.44898,2275,2500,2859.15493,3293.548387,3678.571429,4566.666667,4681.818182
74,136,195.1428571,256.7757009,308.6216216,360.7142857,445.2054795,533.3333333,628.7769784,736.7346939,878.5714286,1000,1172.727273,1250.318471,1427.338129,1631.707317,1814.285714,2083.673469,2343.181818,2574.074074,2943.661972,3390.322581,3785.714286,4700,4818.181818
76,144,204.9010989,268.1775701,321.1891892,375,461.6438356,552.3809524,650.3597122,761.2244898,907.1428571,1031.578947,1209.090909,1288.535032,1470.503597,1680.487805,1867.857143,2144.897959,2411.363636,2648.148148,3028.169014,3487.096774,3892.857143,4833.333333,4954.545455
78,152,214.6593407,279.5794393,333.7567568,389.2857143,478.0821918,571.4285714,671.942446,785.7142857,935.7142857,1063.157895,1245.454545,1326.751592,1513.669065,1729.268293,1921.428571,2206.122449,2479.545455,2722.222222,3112.676056,3583.870968,4000,4966.666667,5090.909091
80,160,224.4175824,290.9813084,346.3243243,403.5714286,494.5205479,590.4761905,693.5251799,810.2040816,964.2857143,1094.736842,1281.818182,1364.968153,1556.834532,1778.04878,1975,2267.346939,2547.727273,2796.296296,3197.183099,3680.645161,4107.142857,5100,5227.272727
82,168,234.1758242,302.3831776,358.8918919,417.8571429,510.9589041,609.5238095,715.1079137,834.6938776,992.8571429,1126.315789,1318.181818,1403.184713,1600,1826.829268,2028.571429,2328.571429,2615.909091,2870.37037,3281.690141,3777.419355,4214.285714,5233.333333,5363.636364
84,176,243.9340659,313.7850467,371.4594595,432.1428571,527.3972603,628.5714286,736.6906475,859.1836735,1021.428571,1157.894737,1354.545455,1441.401274,1643.165468,1875.609756,2082.142857,2389.795918,2684.090909,2944.444444,3366.197183,3874.193548,4321.428571,5366.666667,5500
86,184,253.6923077,325.1869159,384.027027,446.4285714,543.8356164,647.6190476,758.2733813,883.6734694,1050,1189.473684,1390.909091,1479.617834,1686.330935,1924.390244,2135.714286,2451.020408,2752.272727,3018.518519,3450.704225,3970.967742,4428.571429,5500,5636.363636
88,192,263.4505495,336.588785,396.5945946,460.7142857,560.2739726,666.6666667,779.8561151,908.1632653,1078.571429,1221.052632,1427.272727,1517.834395,1729.496403,1973.170732,2189.285714,2512.244898,2820.454545,3092.592593,3535.211268,4067.741935,4535.714286,5633.333333,5772.727273
90,200,273.2087912,347.9906542,409.1621622,475,576.7123288,685.7142857,801.4388489,932.6530612,1107.142857,1252.631579,1463.636364,1556.050955,1772.661871,2021.95122,2242.857143,2573.469388,2888.636364,3166.666667,3619.71831,4164.516129,4642.857143,5766.666667,5909.090909
92,208,282.967033,359.3925234,421.7297297,489.2857143,593.1506849,704.7619048,823.0215827,957.1428571,1135.714286,1284.210526,1500,1594.267516,1815.827338,2070.731707,2296.428571,2634.693878,2956.818182,3240.740741,3704.225352,4261.290323,4750,5900,6045.454545
94,216,292.7252747,370.7943925,434.2972973,503.5714286,609.5890411,723.8095238,844.6043165,981.6326531,1164.285714,1315.789474,1536.363636,1632.484076,1858.992806,2119.512195,2350,2695.918367,3025,3314.814815,3788.732394,4358.064516,4857.142857,6033.333333,6181.818182
96,224,302.4835165,382.1962617,446.8648649,517.8571429,626.0273973,742.8571429,866.1870504,1006.122449,1192.857143,1347.368421,1572.727273,1670.700637,1902.158273,2168.292683,2403.571429,2757.142857,3093.181818,3388.888889,3873.239437,4454.83871,4964.285714,6166.666667,6318.181818
98,232,312.2417582,393.5981308,459.4324324,532.1428571,642.4657534,761.9047619,887.7697842,1030.612245,1221.428571,1378.947368,1609.090909,1708.917197,1945.323741,2217.073171,2457.142857,2818.367347,3161.363636,3462.962963,3957.746479,4551.612903,5071.428571,6300,6454.545455
100,240,322,405,472,546.4285714,658.9041096,780.952381,909.352518,1055.102041,1250,1410.526316,1645.454545,1747.133758,1988.489209,2265.853659,2510.714286,2879.591837,3229.545455,3537.037037,4042.253521,4648.387097,5178.571429,6433.333333,6590.909091
102,248,331.7582418,416.4018692,484.5675676,560.7142857,675.3424658,800,930.9352518,1079.591837,1278.571429,1442.105263,1681.818182,1785.350318,2031.654676,2314.634146,2564.285714,2940.816327,3297.727273,3611.111111,4126.760563,4745.16129,5285.714286,6566.666667,6727.272727
104,256,341.5164835,427.8037383,497.1351351,575,691.7808219,819.047619,952.5179856,1104.081633,1307.142857,1473.684211,1718.181818,1823.566879,2074.820144,2363.414634,2617.857143,3002.040816,3365.909091,3685.185185,4211.267606,4841.935484,5392.857143,6700,6863.636364
106,264,351.2747253,439.2056075,509.7027027,589.2857143,708.2191781,838.0952381,974.1007194,1128.571429,1335.714286,1505.263158,1754.545455,1861.783439,2117.985612,2412.195122,2671.428571,3063.265306,3434.090909,3759.259259,4295.774648,4938.709677,5500,6833.333333,7000
108,272,361.032967,450.6074766,522.2702703,603.5714286,724.6575342,857.1428571,995.6834532,1153.061224,1364.285714,1536.842105,1790.909091,1900,2161.151079,2460.97561,2725,3124.489796,3502.272727,3833.333333,4380.28169,5035.483871,5607.142857,6966.666667,7136.363636
110,280,370.7912088,462.0093458,534.8378378,617.8571429,741.0958904,876.1904762,1017.266187,1177.55102,1392.857143,1568.421053,1827.272727,1938.216561,2204.316547,2509.756098,2778.571429,3185.714286,3570.454545,3907.407407,4464.788732,5132.258065,5714.285714,7100,7272.727273
112,288,380.5494505,473.411215,547.4054054,632.1428571,757.5342466,895.2380952,1038.848921,1202.040816,1421.428571,1600,1863.636364,1976.433121,2247.482014,2558.536585,2832.142857,3246.938776,3638.636364,3981.481481,4549.295775,5229.032258,5821.428571,7233.333333,7409.090909
114,296,390.3076923,484.8130841,559.972973,646.4285714,773.9726027,914.2857143,1060.431655,1226.530612,1450,1631.578947,1900,2014.649682,2290.647482,2607.317073,2885.714286,3308.163265,3706.818182,4055.555556,4633.802817,5325.806452,5928.571429,7366.666667,7545.454545
116,304,400.0659341,496.2149533,572.5405405,660.7142857,790.4109589,933.3333333,1082.014388,1251.020408,1478.571429,1663.157895,1936.363636,2052.866242,2333.81295,2656.097561,2939.285714,3369.387755,3775,4129.62963,4718.309859,5422.580645,6035.714286,7500,7681.818182
118,312,409.8241758,507.6168224,585.1081081,675,806.8493151,952.3809524,1103.597122,1275.510204,1507.142857,1694.736842,1972.727273,2091.082803,2376.978417,2704.878049,2992.857143,3430.612245,3843.181818,4203.703704,4802.816901,5519.354839,6142.857143,7633.333333,7818.181818
120,320,419.5824176,519.0186916,597.6756757,689.2857143,823.2876712,971.4285714,1125.179856,1300,1535.714286,1726.315789,2009.090909,2129.299363,2420.143885,2753.658537,3046.428571,3491.836735,3911.363636,4277.777778,4887.323944,5616.129032,6250,7766.666667,7954.545455
