bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,
#,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
27,0,0,0,0,0,0,0,0,0,0,871.0259743,4281.555453,6912.821085,10422.74324,14485.48566,18345.13389,24014.53025
28,0,0,0,0,0,0,0,0,0,134.4412789,1460.792476,4982.380818,7737.115954,11393.65459,15631.96219,19755.1135,25662.67425
29,0,0,0,0,0,0,0,0,0,626.8142273,2054.083942,5687.857,8567.53254,12372.54396,16788.83271,21179.88066,27329.42151
30,0,0,0,0,0,0,0,0,0,1121.683781,2650.900374,6397.983998,9404.070841,13359.41136,17956.09722,22619.43539,29014.77203
31,0,0,0,0,0,0,0,0,0,1619.04994,3251.241769,7112.761812,10246.73086,14354.2568,19133.75572,24073.77767,30718.72582
32,0,0,0,0,0,0,0,0,315.5513751,2118.912704,3855.10813,7832.190443,11095.51259,15357.08027,20321.8082,25542.90751,32441.28288
33,0,0,0,0,0,0,0,0,752.465326,2621.272074,4462.499455,8556.26989,11950.41604,16367.88177,21520.25467,27026.8249,34182.4432
34,0,0,0,0,0,0,0,0,1191.338947,3126.128048,5073.415745,9285.000153,12811.44121,17386.66129,22729.09513,28525.52985,35942.20678
35,0,0,0,0,0,0,0,0,1632.172238,3633.480628,5687.857,10018.38123,13678.58809,18413.41886,23948.32958,30039.02236,37720.57363
36,0,0,0,0,0,0,0,0,2074.965198,4143.329813,6305.823219,10756.41313,14551.85669,19448.15445,25177.95802,31567.30243,39517.54375
37,0,0,0,0,0,0,0,326.5419335,2519.717829,4655.675604,6927.314404,11499.09584,15431.24701,20490.86807,26417.98045,33110.37005,41333.11713
38,0,0,0,0,0,0,0,700.1738659,2966.430129,5170.517999,7552.330552,12246.42937,16316.75904,21541.55972,27668.39686,34668.22523,43167.29378
39,0,0,0,0,0,0,0,1075.239513,3415.1021,5687.857,8180.871666,12998.41371,17208.39279,22600.22941,28929.20726,36240.86797,45020.07369
40,0,0,0,0,0,0,0,1451.738874,3865.73374,6207.692606,8812.937744,13755.04887,18106.14825,23666.87713,30200.41165,37828.29826,46891.45687
41,0,0,0,0,0,0,0,1829.67195,4318.32505,6730.024817,9448.528787,14516.33485,19010.02543,24741.50287,31482.01003,39430.51611,48781.44331
42,0,0,0,0,0,0,0,2209.03874,4772.87603,7254.853634,10087.64479,15282.27165,19920.02433,25824.10665,32774.0024,41047.52152,50690.03302
43,0,0,0,0,0,0,225.3768585,2589.839244,5229.38668,7782.179056,10730.28577,16052.85926,20836.14494,26914.68846,34076.38876,42679.31448,52617.22599
44,0,0,0,0,0,0,558.2268964,2972.073463,5687.857,8312.001083,11376.4517,16828.09768,21758.38727,28013.2483,35389.1691,44325.89501,54563.02223
45,0,0,0,0,0,0,892.2175971,3355.741397,6148.28699,8844.319715,12026.14261,17607.98692,22686.75131,29119.78618,36712.34344,45987.26309,56527.42173
46,0,0,0,0,0,0,1227.348961,3740.843044,6610.676649,9379.134953,12679.35847,18392.52698,23621.23707,30234.30208,38045.91176,47663.41872,58510.4245
47,0,0,0,0,0,0,1563.620987,4127.378407,7075.025979,9916.446795,13336.0993,19181.71786,24561.84455,31356.79602,39389.87407,49354.36191,60512.03053
48,0,0,0,0,0,0,1901.033676,4515.347483,7541.334979,10456.25524,13996.3651,19975.55955,25508.57375,32487.26798,40744.23037,51060.09266,62532.23983
49,0,0,0,0,0,103.0119644,2239.587028,4904.750274,8009.603648,10998.5603,14660.15586,20774.05206,26461.42466,33625.71798,42108.98065,52780.61097,64571.05239
50,0,0,0,0,0,394.2308943,2579.281042,5295.58678,8479.831987,11543.36196,15327.47159,21577.19538,27420.39728,34772.14601,43484.12493,54515.91683,66628.46822
51,0,0,0,0,0,686.3255765,2920.11572,5687.857,8952.019996,12090.66022,15998.31228,22384.98952,28385.49163,35926.55207,44869.66319,56266.01026,68704.48732
52,0,0,0,0,0,979.296011,3262.09106,6081.560934,9426.167675,12640.45509,16672.67793,23197.43448,29356.70769,37088.93616,46265.59544,58030.89123,70799.10968
53,0,0,0,0,0,1273.142198,3605.207063,6476.698583,9902.275024,13192.74656,17350.56855,24014.53025,30334.04546,38259.29828,47671.92168,59810.55977,72912.3353
54,0,0,0,0,0,1567.864137,3949.463729,6873.269947,10380.34204,13747.53464,18031.98413,24836.27684,31317.50495,39437.63843,49088.64191,61605.01586,75044.16419
55,0,0,0,0,0,1863.461828,4294.861058,7271.275024,10860.36873,14304.81933,18716.92468,25662.67425,32307.08616,40623.95662,50515.75613,63414.25951,77194.59634
56,0,0,0,0,222.8447817,2159.935272,4641.399049,7670.713816,11342.35509,14864.60062,19405.3902,26493.72247,33302.78908,41818.25283,51953.26434,65238.29072,79363.63176
57,0,0,0,0,476.3923197,2457.284468,4989.077703,8071.586323,11826.30112,15426.87851,20097.38068,27329.42151,34304.61372,43020.52708,53401.16653,67077.10948,81551.27045
58,0,0,0,0,730.6023117,2755.509417,5337.89702,8473.892544,12312.20682,15991.65301,20792.89612,28169.77136,35312.56008,44230.77936,54859.46271,68930.7158,83757.5124
59,0,0,0,0,985.4747576,3054.610117,5687.857,8877.632479,12800.07219,16558.92412,21491.93653,29014.77203,36326.62815,45449.00967,56328.15288,70799.10968,85982.35762
60,0,0,0,0,1241.009658,3354.58657,6038.957643,9282.806129,13289.89722,17128.69183,22194.5019,29864.42352,37346.81794,46675.21801,57807.23704,72682.29111,88225.8061
61,0,0,0,0,1497.207011,3655.438775,6391.198948,9689.413494,13781.68193,17700.95614,22900.59224,30718.72582,38373.12945,47909.40438,59296.71519,74580.2601,90487.85784
62,0,0,0,0,1754.066819,3957.166733,6744.580916,10097.45457,14275.42631,18275.71707,23610.20754,31577.67894,39405.56267,49151.56878,60796.58733,76493.01665,92768.51285
63,0,0,0,0,2011.589081,4259.770443,7099.103547,10506.92937,14771.13036,18852.97459,24323.34781,32441.28288,40444.11761,50401.71121,62306.85345,78420.56075,95067.77113
64,0,0,0,0,2269.773797,4563.249905,7454.766841,10917.83787,15268.79408,19432.72872,25040.01304,33309.53763,41488.79426,51659.83168,63827.51356,80362.89241,97385.63267
65,0,0,0,170.2804937,2528.620967,4867.605119,7811.570797,11330.1801,15768.41746,20014.97946,25760.20323,34182.4432,42539.59263,52925.93017,65358.56766,82320.01163,99722.09748
66,0,0,0,398.5620208,2788.130591,5172.836086,8169.515417,11743.95603,16270.00052,20599.7268,26483.91839,35059.99958,43596.51272,54200.0067,66900.01575,84291.91841,102077.1656
67,0,0,0,627.3812755,3048.302669,5478.942805,8528.600699,12159.16568,16773.54325,21186.97075,27211.15852,35942.20678,44659.55452,55482.06126,68451.85783,86278.61274,104450.8369
68,0,0,0,856.7382576,3309.1372,5785.925277,8888.826644,12575.80905,17279.04565,21776.7113,27941.92361,36829.0648,45728.71804,56772.09385,70014.0939,88280.09463,106843.1115
69,0,0,0,1086.632967,3570.634186,6093.7835,9250.193251,12993.88613,17786.50772,22368.94846,28676.21366,37720.57363,46804.00328,58070.10447,71586.72395,90296.36408,109253.9894
70,0,0,0,1317.065405,3832.793626,6402.517476,9612.700522,13413.39692,18295.92945,22963.68223,29414.02868,38616.73328,47885.41023,59376.09312,73169.74799,92327.42108,111683.4705
71,0,0,0,1548.035569,4095.61552,6712.127204,9976.348455,13834.34143,18807.31086,23560.91259,30155.36867,39517.54375,48972.9389,60690.05981,74763.16603,94373.26564,114131.5549
72,0,0,0,1779.543461,4359.099867,7022.612685,10341.13705,14256.71965,19320.65194,24160.63957,30900.23362,40423.00503,50066.58928,62012.00452,76366.97804,96433.89776,116598.2426
73,0,0,0,2011.589081,4623.246669,7333.973918,10707.06631,14680.53159,19835.95268,24762.86315,31648.62353,41333.11713,51166.36138,63341.92727,77981.18405,98509.31744,119083.5335
74,0,0,86.98296586,2244.172429,4888.055925,7646.210903,11074.13623,15105.77724,20353.2131,25367.58333,32400.53841,42247.88005,52272.2552,64679.82804,79605.78405,100599.5247,121587.4277
75,0,0,287.8009947,2477.293503,5153.527635,7959.323641,11442.34682,15532.45661,20872.43319,25974.80012,33155.97825,43167.29378,53384.27073,66025.70685,81240.77803,102704.5195,124109.9251
76,0,0,489.0359855,2710.952306,5419.661798,8273.31213,11811.69806,15960.56969,21393.61294,26584.51351,33914.94306,44091.35833,54502.40798,67379.56369,82886.16601,104824.3018,126651.0259
77,0,0,690.6879384,2945.148836,5686.458416,8588.176372,12182.18997,16390.11649,21916.75237,27196.72351,34677.43283,45020.07369,55626.66695,68741.39856,84541.94797,106958.8717,129210.7298
78,0,0,892.7568533,3179.883093,5953.917487,8903.916367,12553.82255,16821.097,22441.85147,27811.43012,35443.44757,45953.43987,56757.04763,70111.21146,86208.12392,109108.2292,131789.0371
79,0,0,1095.24273,3415.155078,6222.039013,9220.532113,12926.59578,17253.51122,22968.91023,28428.63333,36212.98727,46891.45687,57893.55002,71489.0024,87884.69386,111272.3742,134385.9476
80,0,0,1298.145569,3650.96479,6490.822993,9538.023612,13300.50968,17687.35916,23497.92867,29048.33315,36986.05194,47834.12468,59036.17414,72874.77136,89571.65778,113451.3068,137001.4614
81,0,0,1501.46537,3887.31223,6760.269426,9856.390864,13675.56424,18122.64081,24028.90678,29670.52957,37762.64157,48781.44331,60184.91997,74268.51835,91269.0157,115645.0269,139635.5785
82,0,0,1705.202133,4124.197398,7030.378314,10175.63387,14051.75947,18559.35618,24561.84455,30295.22259,38542.75617,49733.41275,61339.78752,75670.24338,92976.7676,117853.5346,142288.2988
83,0,0,1909.355858,4361.620293,7301.149655,10495.75262,14429.09535,18997.50526,25096.742,30922.41222,39326.39573,50690.03302,62500.77678,77079.94644,94694.9135,120076.8298,144959.6223
84,0,0,2113.926545,4599.580915,7572.583451,10816.74713,14807.5719,19437.08806,25633.59911,31552.09846,40113.56025,51651.30409,63667.88776,78497.62753,96423.45338,122314.9126,147649.5492
85,0,0,2318.914194,4838.079265,7844.6797,11138.61739,15187.18911,19878.10457,26172.4159,32184.2813,40904.24974,52617.22599,64841.12045,79923.28665,98162.38724,124567.783,150358.0793
86,0,0,2524.318805,5077.115343,8117.438404,11461.3634,15567.94699,20320.55479,26713.19236,32818.96075,41698.4642,53587.7987,66020.47487,81356.9238,99911.7151,126835.4409,153085.2127
87,0,0,2730.140378,5316.689148,8390.859561,11784.98517,15949.84553,20764.43873,27255.92848,33456.1368,42496.20362,54563.02223,67205.95099,82798.53898,101671.4369,129117.8864,155830.9493
88,0,94.39871145,2936.378913,5556.80068,8664.943173,12109.48269,16332.88473,21209.75639,27800.62428,34095.80946,43297.468,55542.89657,68397.54884,84248.13219,103441.5528,131415.1194,158595.2892
89,0,267.1458299,3143.03441,5797.44994,8939.689238,12434.85596,16717.06459,21656.50775,28347.27974,34737.97872,44102.25735,56527.42173,69595.2684,85705.70344,105222.0626,133727.14,161378.2324
90,0,440.2015313,3350.106869,6038.636928,9215.097758,12761.10498,17102.38512,22104.69284,28895.89488,35382.64459,44910.57167,57516.5977,70799.10968,87171.25271,107012.9664,136053.9481,164179.7788
91,0,613.5658158,3557.596291,6280.361643,9491.168731,13088.22975,17488.84631,22554.31163,29446.46968,36029.80706,45722.41094,58510.4245,72009.07267,88644.78002,108814.2642,138395.5438,166999.9285
92,0,787.2386834,3765.502674,6522.624086,9767.902158,13416.23028,17876.44816,23005.36415,29999.00416,36679.46614,46537.77519,59508.90211,73225.15738,90126.28536,110625.956,140751.9271,169838.6815
93,0,961.2201339,3973.826019,6765.424256,10045.29804,13745.10656,18265.19067,23457.85037,30553.4983,37331.62183,47356.6644,60512.03053,74447.3638,91615.76873,112448.0418,143123.0979,172696.0377
94,0,1135.510168,4182.566326,7008.762154,10323.35638,14074.85859,18655.07385,23911.77031,31109.95212,37986.27412,48179.07857,61519.80977,75675.69194,93113.23013,114280.5215,145509.0563,175571.9972
95,0,1310.108784,4391.723595,7252.637779,10602.07716,14405.48637,19046.09769,24367.12397,31668.3656,38643.42301,49005.01771,62532.23983,76910.1418,94618.66956,116123.3953,147909.8022,178466.56
96,0,1485.015984,4601.297827,7497.051132,10881.46041,14736.98991,19438.26219,24823.91134,32228.73876,39303.06851,49834.48181,63549.3207,78150.71338,96132.08702,117976.663,150325.3357,181379.726
97,60.02830484,1660.231767,4811.28902,7742.002212,11161.50611,15069.3692,19831.56736,25282.13242,32791.07158,39965.21061,50667.47088,64571.05239,79397.40667,97653.48252,119840.3248,152755.6567,184311.4953
98,198.1419863,1835.756132,5021.697175,7987.49102,11442.21426,15402.62424,20226.01319,25741.78722,33355.36408,40629.84932,51503.98491,65597.4349,80650.22167,99182.85604,121714.3805,155200.7653,187261.8679
99,336.453132,2011.589081,5232.522293,8233.517555,11723.58486,15736.75503,20621.59968,26202.87573,33921.61624,41296.98464,52344.0239,66628.46822,81909.1584,100720.2076,123598.8302,157660.6615,190230.8437
100,474.9617417,2187.730613,5443.764372,8480.081818,12005.61792,16071.76158,21018.32683,26665.39796,34489.82808,41966.61656,53187.58786,67664.15236,83174.21684,102265.5372,125493.6739,160135.3452,193218.4228
101,613.6678156,2364.180728,5655.423413,8727.183808,12288.31343,16407.64387,21416.19465,27129.3539,35059.99958,42638.74509,54034.67679,68704.48732,84445.39699,103818.8448,127398.9116,162624.8165,196224.6051
102,752.5713536,2540.939426,5867.499417,8974.823526,12571.6714,16744.40192,21815.20313,27594.74356,35632.13076,43313.37022,54885.29068,69749.47309,85722.69886,105380.1305,129314.5432,165129.0753,199249.3908
103,891.6723558,2718.006707,6079.992382,9223.000972,12855.69182,17082.03572,22215.35227,28061.56693,36206.2216,43990.49195,55739.42954,70799.10968,87006.12245,106949.3941,131240.5689,167648.1217,202292.7796
104,1030.970822,2895.382571,6292.90231,9471.716145,13140.3747,17420.54528,22616.64208,28529.82401,36782.27211,44670.11029,56597.09336,71853.39708,88295.66776,108526.6358,133176.9885,170181.9556,205354.7718
105,1170.466752,3073.067018,6506.229199,9720.969045,13425.72003,17759.93059,23019.07255,28999.51481,37360.2823,45352.22524,57458.28214,72912.3353,89591.33478,110111.8556,135123.8022,172730.5771,208435.3672
106,1310.160147,3251.060048,6719.97305,9970.759673,13711.72781,18100.19164,23422.64368,29470.63933,37940.25215,46036.83679,58322.99589,73975.92434,90893.12351,111705.0534,137081.0098,175293.9862,211534.5659
107,1450.051006,3429.361661,6934.133864,10221.08803,13998.39805,18441.32846,23827.35547,29943.19755,38522.18168,46723.94495,59191.2346,75044.16419,92201.03397,113306.2292,139048.6114,177872.1828,214652.3678
108,1590.139328,3607.971857,7148.711639,10471.95411,14285.73074,18783.34102,24233.20793,30417.1895,39106.07087,47413.54971,60062.99828,76117.05486,93515.06614,114915.383,141026.607,180465.167,217788.773
109,1730.425115,3786.890637,7363.706377,10723.35792,14573.72588,19126.22933,24640.20105,30892.61515,39691.91973,48105.65108,60938.28693,77194.59634,94835.22002,116532.5149,143014.9966,183072.9387,220943.7815
110,1870.908366,3966.117999,7579.118077,10975.29946,14862.38348,19469.9934,25048.33483,31369.47452,40279.72827,48800.24905,61817.10053,78276.78865,96161.49562,118157.6248,145013.7802,185695.498,224117.3933
111,2011.589081,4145.653944,7794.946738,11227.77873,15151.70354,19814.63322,25457.60927,31847.76761,40869.49647,49497.34363,62699.43911,79363.63176,97493.89294,119790.7127,147022.9578,188332.8448,227309.6083
112,2152.46726,4325.498473,8011.192362,11480.79572,15441.68604,20160.1488,25868.02438,32327.49441,41461.22434,50196.93481,63585.30264,80455.1257,98832.41198,121431.7787,149042.5293,190984.9792,230520.4265
113,2293.542904,4505.651584,8227.854947,11734.35044,15732.331,20506.54012,26279.58015,32808.65493,42054.91189,50899.0226,64474.69115,81551.27045,100177.0527,123080.8227,151072.4949,193651.9012,233749.8481
114,2434.816011,4686.113278,8444.934495,11988.44289,16023.63842,20853.8072,26692.27659,33291.24916,42650.5591,51603.607,65367.60461,82652.06602,101527.8152,124737.8447,153112.8544,196333.6107,236997.8729
115,2576.286583,4866.883556,8662.431005,12243.07306,16315.60829,21201.95003,27106.11368,33775.2771,43248.16598,52310.688,66264.04305,83757.5124,102884.6994,126402.8447,155163.6079,199030.1078,240264.5009
116,2717.954619,5047.962416,8880.344476,12498.24097,16608.24061,21550.96861,27521.09144,34260.73876,43847.73253,53020.2656,67164.00644,84867.6096,104247.7053,128075.8228,157224.7554,201741.3924,243549.7323
117,2859.820119,5229.34986,9098.67491,12753.9466,16901.53539,21900.86294,27937.20986,34747.63413,44449.25876,53732.33981,68067.4948,85982.35762,105616.8329,129756.7789,159296.2969,204467.4646,246853.5669
118,3001.883083,5411.045887,9317.422306,13010.18996,17195.49262,22251.63303,28354.46895,35235.96322,45052.74465,54446.91062,68974.50813,87101.75645,106992.0822,131445.7131,161378.2324,207208.3243,250176.0047
119,3144.143511,5593.050496,9536.586663,13266.97104,17490.1123,22603.27887,28772.86869,35725.72602,45658.19021,55163.97804,69885.04642,88225.8061,108373.4533,133142.6253,163470.5619,209963.9716,253517.0459
120,3286.601403,5775.363689,9756.167983,13524.28985,17785.39444,22955.80046,29192.4091,36216.92253,46265.59544,55883.54207,70799.10968,89354.50656,109760.946,134847.5155,165573.2853,212734.4065,256876.6903
121,3429.256759,5957.985465,9976.166265,13782.1464,18081.33904,23309.1978,29613.09018,36709.55276,46874.96035,56605.6027,71716.6979,90487.85784,111154.5605,136560.3837,167686.4028,215519.6289,260254.9379
122,3572.10958,6140.915823,10196.58151,14040.54066,18377.94608,23663.4709,30034.91191,37203.61671,47486.28492,57330.15994,72637.81108,91625.85994,112554.2967,138281.23,169809.9142,218319.6388,263651.7888
123,3715.159864,6324.154765,10417.41371,14299.47266,18675.21558,24018.61975,30457.87431,37699.11437,48099.56916,58057.21378,73562.44923,92768.51285,113960.1546,140010.0543,171943.8197,221134.4364,267067.243
124,3858.407613,6507.70229,10638.66288,14558.94238,18973.14754,24374.64435,30881.97737,38196.04574,48714.81307,58786.76422,74490.61234,93915.81658,115372.1343,141746.8566,174088.1191,223964.0214,270501.3005
125,4001.852826,6691.558398,10860.32901,14818.94983,19271.74195,24731.5447,31307.2211,38694.41083,49332.01666,59518.81127,75422.30042,95067.77113,116790.2356,143491.637,176242.8125,226808.3941,273953.9612
126,4145.495503,6875.723089,11082.4121,15079.49501,19570.99881,25089.3208,31733.60548,39194.20963,49951.17991,60253.35493,76357.51347,96224.37649,118214.4587,145244.3954,178407.8999,229667.5543,277425.2252
127,4289.335644,7060.196363,11304.91216,15340.57792,19870.91813,25447.97266,32161.13053,39695.44215,50572.30283,60990.39519,77296.25147,97385.63267,119644.8034,147005.1318,180583.3812,232541.502,280915.0924
128,4433.373249,7244.97822,11527.82917,15602.19855,20171.4999,25807.50027,32589.79624,40198.10838,51195.38542,61729.93206,78238.51445,98551.53967,121081.2699,148773.8463,182769.2566,235430.2373,284423.5629
129,4577.608319,7430.06866,11751.16315,15864.35691,20472.74412,26167.90363,33019.60262,40702.20833,51820.42768,62471.96553,79184.30238,99722.09748,122523.8581,150550.5388,184965.526,238333.7602,287950.6367
130,4722.040852,7615.467683,11974.91409,16127.053,20774.6508,26529.18275,33450.54966,41207.74199,52447.42961,63216.49561,80133.61529,100897.3061,123972.5681,152335.2093,187172.1893,241252.0706,291496.3138
131,4866.67085,7801.175289,12199.08199,16390.28682,21077.21993,26891.33761,33882.63736,41714.70936,53076.39121,63963.52229,81086.45315,102077.1656,125427.3997,154127.8579,189389.2467,244185.1686,295060.5941
132,5011.498311,7987.191478,12423.66686,16654.05836,21380.45152,27254.36823,34315.86572,42223.11045,53707.31249,64713.04558,82042.81599,103261.6758,126888.3531,155928.4845,191616.698,247133.0542,298643.4776
133,5156.523237,8173.51625,12648.66868,16918.36763,21684.34556,27618.2746,34750.23475,42732.94525,54340.19343,65465.06547,83002.70378,104450.8369,128355.4282,157737.0891,193854.5433,250095.7273,302244.9645
134,5301.745627,8360.149606,12874.08747,17183.21463,21988.90206,27983.05673,35185.74444,43244.21377,54975.03404,66219.58197,83966.11654,105644.6488,129828.6249,159553.6717,196102.7826,253073.1879,305865.0546
135,5447.165481,8547.091544,13099.92322,17448.59936,22294.121,28348.7146,35622.39479,43756.916,55611.83432,66976.59508,84933.05427,106843.1115,131307.9435,161378.2324,198361.4159,256065.4361,309503.748
136,5592.7828,8734.342065,13326.17593,17714.52181,22600.00241,28715.24823,36060.1858,44271.05195,56250.59427,67736.10479,85903.51696,108046.225,132793.3837,163210.7711,200630.4432,259072.4719,313161.0446
137,5738.597582,8921.90117,13552.84561,17980.98199,22906.54626,29082.65761,36499.11748,44786.62161,56891.31389,68498.1111,86877.50462,109253.9894,134284.9456,165051.2879,202909.8644,262094.2952,316836.9445
138,5884.609828,9109.768857,13779.93224,18247.9799,23213.75257,29450.94274,36939.18982,45303.62499,57533.99318,69262.61402,87855.01724,110466.4045,135782.6293,166899.7826,205199.6797,265130.9061,320531.4477
139,6030.819539,9297.945127,14007.43584,18515.51554,23521.62134,29820.10363,37380.40282,45822.06208,58178.63214,70029.61354,88836.05482,111683.4705,137286.4346,168756.2554,207499.8889,268182.3045,324244.5541
140,6177.226714,9486.429981,14235.3564,18783.5889,23830.15256,30190.14026,37822.75649,46341.93288,58825.23077,70799.10968,89820.61737,112905.1873,138796.3617,170620.7063,209810.4921,271248.4905,327976.2638
141,6323.831352,9675.223417,14463.69393,19052.19999,24139.34623,30561.05265,38266.25082,46863.2374,59473.78907,71571.10241,90808.70488,114131.5549,140312.4105,172493.1351,212131.4894,274329.4641,331726.5768
142,6470.633455,9864.325437,14692.44841,19321.34881,24449.20236,30932.8408,38710.88581,47385.97563,60124.30704,72345.59175,91800.31736,115362.5733,141834.5811,174373.542,214462.8806,277425.2252,335495.493
143,6617.633022,10053.73604,14921.61986,19591.03536,24759.72094,31305.50469,39156.66147,47910.14758,60776.78468,73122.5777,92795.45481,116598.2426,143362.8733,176261.927,216804.6658,280535.7738,339283.0125
144,6764.830054,10243.45523,15151.20826,19861.25963,25070.90197,31679.04434,39603.57778,48435.75324,61431.22199,73902.06025,93794.11722,117838.5626,144897.2873,178158.2899,219156.845,283661.1101,343089.1352
145,6912.224549,10433.48299,15381.21363,20132.02163,25382.74546,32053.45973,40051.63476,48962.79262,62087.61897,74684.0394,94796.30459,119083.5335,146437.8229,180062.6309,221519.4181,286801.2338,346913.8613
146,7059.816508,10623.81935,15611.63597,20403.32136,25695.2514,32428.75089,40500.8324,49491.26571,62745.97562,75468.51517,95802.01693,120333.1552,147984.4803,181974.9499,223892.3853,289956.1452,350757.1905
147,7207.605932,10814.46428,15842.47526,20675.15882,26008.4198,32804.91779,40951.17071,50021.17252,63406.29194,76255.48753,96811.25423,121587.4277,149537.2594,183895.247,226275.7464,293125.8441,354619.1231
148,7355.59282,11005.4178,16073.73152,20947.534,26322.25065,33181.96044,41402.64968,50552.51304,64068.56793,77044.9565,97824.0165,122846.351,151096.1602,185823.5221,228669.5016,296310.3305,358499.6589
149,7503.777172,11196.6799,16305.40474,21220.44691,26636.74395,33559.87885,41855.26931,51085.28727,64732.80359,77836.92208,98840.30373,124109.9251,152661.1828,187759.7752,231073.6507,299509.6045,362398.798
150,7652.158988,11388.25058,16537.49492,21493.89755,26951.89971,33938.67301,42309.0296,51619.49522,65398.99892,78631.38426,99860.11593,125378.1501,154232.327,189704.0063,233488.1938,302723.6661,366316.5403
151,7800.738268,11580.12985,16770.00206,21767.88592,27267.71792,34318.34293,42763.93056,52155.13688,66067.15392,79428.34305,100883.4531,126651.0259,155809.593,191656.2155,235913.1309,305952.5152,370252.886
152,7949.515012,11772.3177,17002.92616,22042.41201,27584.19859,34698.88859,43219.97218,52692.21226,66737.26859,80227.79844,101910.3152,127928.5524,157392.9807,193616.4027,238348.462,309196.1519,374207.8348
153,8098.48922,11964.81413,17236.26723,22317.47583,27901.34171,35080.31001,43677.15446,53230.72135,67409.34293,81029.75044,102940.7023,129210.7298,158982.4901,195584.568,240794.1871,312454.5761,378181.387
154,8247.660893,12157.61915,17470.02526,22593.07738,28219.14729,35462.60718,44135.47741,53770.66416,68083.37694,81834.19905,103974.6144,130497.5581,160578.1212,197560.7112,243250.3061,315727.7879,382173.5424
155,8397.030029,12350.73275,17704.20025,22869.21666,28537.61531,35845.7801,44594.94101,54312.04068,68759.37062,82641.14425,105012.0514,131789.0371,162179.874,199544.8325,245716.8192,319015.7873,386184.3011
156,8546.59663,12544.15493,17938.7922,23145.89366,28856.7458,36229.82877,45055.54528,54854.85092,69437.32397,83450.58607,106053.0134,133085.167,163787.7486,201536.9319,248193.7262,322318.5742,390213.663
157,8696.360695,12737.8857,18173.80112,23423.10839,29176.53873,36614.7532,45517.29022,55399.09487,70117.23699,84262.52449,107097.5003,134385.9476,165401.7448,203537.0092,250681.0273,325636.1486,394261.6282
158,8846.322224,12931.92504,18409.22699,23700.86085,29496.99412,37000.55338,45980.17581,55944.77253,70799.10968,85076.95951,108145.5122,135691.3791,167021.8628,205545.0646,253178.7223,328968.5107,398328.1967
