Bvets Vehicle Performance Table 1.00
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,P910,P10Q11,WF1,WF2,WF3,WF4,WF5
#k,9.80665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6132.027637,7891.686328,9832.608356,11491.33477,12705.69156,14255.36278,16220.28179,17949.35044,19136.91839,20703.95926,22335.70224,24069.96347,25274.22434,41768.96597,48794.41023,57569.19641,65127.78758,78387.72661,95722.02665,118073.0075,161088.4474,201146.5517,279628.0776,3111639.421,1380819.877,408596.6283,1025319.533,4465110.246,19920737.33
22,5368.749452,6635.995282,7925.618113,9300.940768,10242.1859,11437.99468,13041.27861,14192.85195,15037.28309,16004.05833,17394.0416,18621.70036,19887.79501,37736.07626,43478.30482,50705.33848,56482.95571,66405.9262,78819.39143,94706.07229,119786.6808,144610.3441,181684.2025,562092.8484,504804.4965,275568.4677,547581.6431,1373236.234,19920737.33
24,4675.193675,5501.972033,6207.587268,7338.513579,8059.612242,8954.768924,10280.52313,10983.69153,11608.78447,12191.54294,13508.4206,14502.35637,16073.64185,34158.10477,38843.56336,44817.2,49290.13713,56838.62313,65961.94326,77644.93479,93138.40095,109821.7232,129764.8614,236876.8056,273799.5607,200785.7815,346264.8484,673602.3112,13777574.65
26,4042.271424,4472.946274,4652.40756,5571.142135,6113.712527,6751.263082,7862.734747,8213.59131,8702.822637,9041.602007,10377.72714,11283.7839,13234.76697,30964.51261,34771.42991,39718.05314,43223.69021,49045.13157,55895.03272,64716.16401,74712.41562,86573.0199,98292.73322,140712.4928,177361.944,154232.7331,241838.2595,405743.0323,2057127.77
28,3462.401497,3535.134718,3238.4913,3971.848143,4368.902936,4784.040238,5729.360265,5800.559836,6210.990453,6398.475207,7804.303032,8702.568792,11041.30997,28098.33538,31168.63719,35264.86846,38046.57935,42588.68297,47824.94281,54624.3528,61305.67121,70086.59649,77448.76661,97124.00462,126972.799,123091.9116,180292.2251,274384.8118,821063.9759
30,2929.211216,2793.914585,2793.914585,2793.914585,2796.274014,3018.04746,3834.229862,3681.470757,4052.489611,4151.072315,5653.329802,6588.171645,9296.57707,25513.11383,27961.0183,31346.43786,33582.57772,37162.32202,41227.54849,46554.61509,51162.75951,57861.94446,62749.91563,72820.71255,96863.66628,101116.8165,140733.5388,199837.6799,449933.1576
32,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3829.858438,4825.517941,7876.175734,23170.61264,25088.92728,27875.12826,29698.21241,32544.63311,35744.18389,39971.33904,43249.12685,48476.95277,51888.94546,57502.19252,77190.58685,84955.88159,113659.7902,153232.2775,288796.5427
34,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3334.253484,6697.669751,21039.1028,22503.90285,24781.04468,26290.71771,28572.26313,31121.90512,34509.41831,36919.19834,41069.09083,43569.14085,47032.46678,63490.07041,72673.91996,94227.93711,122015.0501,203778.7382
36,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5704.304964,19092.05281,20166.20164,22007.82636,23279.80394,25122.29937,27177.67021,29912.21357,31751.10407,35087.68093,37010.78161,39454.38463,53482.51524,63086.94655,79751.12377,99996.26614,153124.6797
38,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4855.751356,17307.1204,18042.94993,19509.57124,20601.91316,22100.63955,23776.0342,25994.53325,27458.47159,30166.10531,31719.2386,33730.19955,45896.82108,55435.78521,68637.3485,83829.04858,120323.6868
40,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4122.573967,15665.36792,16106.74148,17248.55341,18206.13372,19434.12073,20814.80013,22619.67771,23840.60483,26051.62856,27366.79446,29261.59248,39974.65345,49214.391,59892.39501,71570.93426,97754.55766
42,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3482.79305,14150.6459,14334.5618,15193.5068,16051.24453,17065.07181,18215.52212,19684.72479,20752.98265,22564.8149,23728.35896,25680.68651,35238.62925,44074.25881,52868.06813,62029.46097,81491.37399
44,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2919.668197,12749.10466,12706.9542,13318.31922,14103.54341,14947.46755,15917.06066,17110.82168,18089.07559,19575.01678,20644.57252,22749.46811,31374.79828,39768.60308,47126.32866,54438.39623,69338.51565
46,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,11448.80401,11207.36697,11601.02746,12335.22885,13044.16406,13871.11113,14836.61527,15768.74675,16985.01069,17999.65525,20307.43882,28169.0613,36118.4181,42362.02474,48286.38358,59986.88807
48,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,10239.39918,9821.637822,10023.03624,10723.17854,11324.87931,12039.0394,12813.70528,13730.62843,14721.053,15707.58993,18242.5975,25470.87468,32991.11262,38356.96378,43221.08616,52614.86911
49,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,9665.922514,9167.594866,9281.234647,9969.572039,10526.28057,11193.20438,11884.0931,12802.05194,13693.0421,14672.87555,17325.5636,24276.92667,31591.28156,36587.53434,41015.01101,49495.46981
50,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,9111.886118,8537.583246,8568.505366,9248.016524,9764.696062,10389.60213,11003.4335,11926.97899,12726.26147,13703.21502,16474.49888,23171.57788,30286.64762,34951.56361,38993.01456,46684.61614
51,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,8576.3399,7930.335183,7883.219339,8556.557331,9037.665107,9625.20869,10168.03839,11100.98963,11815.49641,12792.75496,15682.58962,22145.59145,29068.28095,33435.30493,37134.38286,44141.36299
52,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,8058.393679,7344.668937,7223.864604,7893.392895,8342.937024,8897.277909,9374.575486,10320.13184,10956.10022,11936.31566,14943.92323,21190.94684,27928.30076,32026.77435,35421.28316,41831.44811
53,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,7557.21259,6779.481726,6589.036104,7256.860239,7678.449469,8203.310586,8620.026979,9580.861748,10143.91971,11129.29776,14253.3448,20300.64883,26859.72893,30715.48316,33838.29199,39726.01385
54,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,7072.01291,6233.743332,5977.426546,6645.422065,7042.309371,7541.027636,7901.653649,8879.992769,9375.231971,10367.60382,13606.34013,19468.57096,25856.36705,29492.21697,32372.01148,37800.60663
55,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,6602.058246,5706.490304,5387.818163,6057.655254,6432.776108,6908.346636,7216.963823,8214.652071,8646.690666,9647.572349,12998.93963,18689.32653,24912.69268,28348.85219,31010.75548,36034.38717
56,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,6146.656059,5196.820708,4819.075289,5492.240582,5848.24664,6303.361283,6563.686326,7582.243243,7955.280005,8965.921754,12427.63902,17958.16175,24023.7716,27278.20283,29744.29125,34409.50199
57,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5705.154486,4703.889358,4270.137648,4947.95353,5287.24233,5724.323357,5939.746884,6980.414112,7298.275309,8319.702743,11889.33337,17270.86661,23185.18308,26273.89198,28563.6258,32910.57944
58,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5276.939434,4226.903479,3740.014293,4423.656034,4748.397238,5169.626829,5343.247461,6407.028933,6673.209037,7706.257636,11381.26205,16623.7003,22392.95612,25330.24356,27460.82818,31524.32291
59,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4861.431914,3765.118758,3227.778104,3918.289078,4230.447703,4637.793847,4772.448125,5860.144258,6077.841422,7123.185479,10900.96252,16013.32844,21643.51487,24442.19072,26428.88095,30239.18009
60,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4458.085597,3317.835744,2793.914585,3430.86603,3732.223045,4127.462316,4225.751092,5337.987952,5510.135015,6568.312011,10446.23128,15436.77006,20933.6316,23605.19799,25461.55547,29045.07263
61,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4066.384571,2884.396558,2793.914585,2960.466632,3252.637261,3637.3749,3701.686644,4838.940874,4968.232549,6039.663735,10015.09086,14891.35252,20260.38623,22815.19492,24553.30679,27933.1736
62,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3685.841275,2793.914585,2793.914585,2793.914585,2793.914585,3166.369235,3198.90068,4361.520843,4450.437615,5535.445432,9605.761632,14374.67317,19621.13121,22068.51922,23699.1845,26895.72356
63,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3315.994602,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3904.368573,3955.197768,5054.02063,9216.637813,13884.56649,19013.46111,21361.86796,22894.75707,25925.87754
64,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2956.408148,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3466.235287,3481.089697,4593.894552,8846.266785,13419.07587,18435.18604,20692.25547,22136.04719,25017.5772
65,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3045.971797,3026.806178,4153.699219,8493.331344,12976.42932,17884.30858,20056.97695,21419.47639,24165.44355
66,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3732.180375,8156.634327,12555.01844,17359.00342,19453.57686,20741.81742,23364.68638
67,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3328.185986,7835.08529,12153.38019,16857.5996,18879.82149,20100.15323,22611.02768
68,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2940.656105,7527.688918,11770.18097,16378.56484,18333.67495,19491.84141,21900.63645
69,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,7233.534903,11404.20284,15920.4917,17813.27823,18914.48336,21230.07308
70,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,6951.789087,11054.33131,15482.08536,17316.93073,18365.89746,20596.24169
71,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,6681.68569,10719.54475,15062.15281,16843.07412,17844.09565,19996.34919
72,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,6422.520462,10398.90501,14659.59316,16390.27809,17347.26286,19427.86994
73,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,6173.644642,10091.54912,14273.38913,15957.22767,16873.73909,18888.51514
74,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5934.459617,9796.682026,13902.59939,15542.71209,16422.00353,18376.20634
75,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5704.412182,9513.570065,13546.3517,15145.6149,15990.66061,17889.05229
76,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5482.990322,9241.535238,13203.83686,14764.90506,15578.42763,17425.3288
77,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5269.719463,8979.950067,12874.30314,14399.62917,15184.12387,16983.46106
78,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5064.159118,8728.233024,12557.0514,14048.90439,14806.66084,16562.00814
79,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4865.899886,8485.844438,12251.43065,13711.91214,14445.03367,16159.64936
80,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4674.56077,8252.282831,11956.83404,13387.89251,14098.3134,15775.17228
81,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4489.786755,8027.08163,11672.69523,13076.1392,13765.64007,15407.46201
82,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4311.24664,7809.806207,11398.48513,12775.9949,13446.21663,15055.49184
83,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4138.631076,7600.051217,11133.70897,12486.84726,13139.30334,14718.31482
84,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3971.650799,7397.438194,10877.90356,12208.12516,12844.21289,14395.05637
85,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3810.035029,7201.613378,10630.63487,11939.29534,12560.30589,14084.90759
86,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3653.530019,7012.245747,10391.49581,11679.85941,12286.98687,13787.11934
87,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3501.897739,6829.025238,10160.10422,11429.35106,12023.70063,13500.99695
88,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3354.914684,6651.661125,9936.100999,11187.33359,11769.92902,13225.89544
89,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3212.370778,6479.880547,9719.148417,10953.39764,11525.18789,12961.21521
90,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3074.068391,6313.427169,9508.928596,10727.15908,11289.02445,12706.39825
91,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2939.821423,6152.059957,9305.14208,10508.25721,11061.01482,12460.92465
92,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2809.454486,5995.552065,9107.506543,10296.35294,10840.7618,12224.30941
93,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5843.689812,8915.755601,10091.1273,10627.89283,11996.0997
94,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5696.271749,8729.63772,9892.279936,10422.05818,11775.87221
95,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5553.107802,8548.915209,9699.527842,10222.92924,11563.23088
96,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5414.018486,8373.3633,9512.604116,10030.19697,11357.80475
97,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5278.834185,8202.769288,9331.256864,9843.570539,11159.24606
98,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5147.394484,8036.931749,9155.248172,9662.775976,10967.22848
99,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,5019.547563,7875.659813,8984.353166,9487.555025,10781.44553
100,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4895.149629,7718.772489,8818.359148,9317.664045,10601.60912
