Bvets Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
20,0,0,0,0,0,0,0,0,6150.950621,12036.8123,19989.26686,29187.26494,35326.91714,45492.65599,58672.91859,72880.68371,90810.71038,112843.7286,136586.8194,167923.9855,212881.7479,262148.4158,361365.2459,380215.4102
22,0,0,0,0,0,0,0,0,10679.44185,17631.40606,26599.22061,37339.26563,44246.64399,56208.27245,71659.70009,88107.19648,109531.6502,135349.9903,162829.8991,200409.7732,253890.8928,311733.7902,432574.6004,454714.7472
24,0,0,0,0,0,0,0,8660.054107,15402.02388,23490.17896,33531.89736,45919.19287,53639.01882,67526.87532,85416.54572,104262.4641,129465.6574,159360.6813,190848.6685,235206.67,297930.813,365034.1838,509537.1896,535231.8013
26,0,0,0,0,0,0,6274.121219,12736.51624,20318.6967,29613.131,40787.29711,54927.04665,63504.04165,79448.46458,99943.45547,121346.4864,150612.7322,184875.8016,220643.1276,272314.6756,345001.5084,422049.5966,592253.0135,621766.5724
28,0,0,0,0,0,0,9783.701105,16963.72498,25429.46033,36000.26218,48365.41985,64362.82698,73841.71245,91973.04024,115240.4294,139359.2636,172972.8744,211895.3511,252213.2764,311733.7902,395102.9791,482780.0286,680722.072,714319.0605
30,0,0,0,0,0,7618.353744,13410.69394,21341.68032,30734.31475,42651.57251,56266.26559,74226.53385,84652.03125,105100.6023,131307.4674,158300.7956,196546.0842,240419.3299,285559.1149,353464.0137,448235.2252,547225.4798,774944.3652,812889.2657
32,0,0,0,0,0,10679.44185,17155.09973,25870.38225,36233.25998,49567.06198,64489.83433,84518.16727,95934.99803,118831.1508,148144.5695,178171.0823,221332.3614,270447.738,320680.6432,397505.3462,504398.2465,615385.9502,874919.8931,917477.188
34,0,0,0,0,6058.670953,13827.97826,21016.91848,30549.83079,41926.296,56746.7306,73036.12607,95237.72723,107690.6128,133164.6856,165751.7358,198970.1239,247331.7062,301980.5753,357577.8611,443857.7877,563592.0431,687261.4397,980648.6556,1028082.827
36,0,0,0,0,8674.344671,17063.96297,24996.15017,35380.02592,47813.42282,64190.57836,81905.1408,106385.2137,119918.8755,148101.2069,184128.9662,220697.9202,274544.1184,335017.8419,396250.7688,492521.3381,625816.6149,762851.9485,1092130.653,1144706.184
38,0,0,0,7406.335209,11356.06317,20387.39599,29092.79482,40360.96765,53894.64044,71898.60526,91096.87853,117960.6268,132619.7863,163640.7145,203276.2607,243354.4714,302969.5981,369559.5377,436699.3662,543495.9974,691071.9621,842157.4765,1209365.885,1267347.257
40,0,0,0,9734.04579,14103.82646,23798.27731,33306.85242,45492.65599,60169.94886,79870.8113,100611.3393,129963.9664,145793.345,179783.2086,223193.6194,266939.7774,332608.1453,405605.6628,478923.6532,596781.7657,759358.0845,925178.0237,1332354.351,1396006.047
42,0,0,0,12112.87004,16917.63454,27296.60693,37638.32297,50775.09092,66639.34808,88107.19648,110448.523,142395.2325,159439.5517,196528.689,243881.0421,291453.8381,363459.76,443156.2172,522923.63,652378.6429,830674.9823,1011913.59,1461096.052,1530682.555
44,0,0,8020.384688,14542.80796,19797.4874,30882.38485,42087.20648,56208.27245,73302.83809,96607.76081,120608.4297,155254.4252,173558.4064,213877.1559,265338.5291,316896.6537,395524.4422,482211.2008,568699.2966,710286.6291,905022.6553,1102364.176,1595590.988,1671376.779
46,0,0,10142.3715,17023.85956,22743.38505,34555.61108,46653.50293,61792.20059,80160.41891,105372.5043,131091.0594,168541.5445,188149.9091,231828.6091,287566.0801,343268.2241,428802.1919,522770.6137,616250.6528,770505.7242,982401.1036,1196529.78,1735839.159,1818088.721
48,0,0,12306.42968,19556.02482,25755.32748,38316.28561,51337.21234,67526.87532,87212.09052,114401.4269,141896.4121,182256.5903,203214.0597,250383.0487,310563.6953,370568.5492,463293.0091,564834.4558,665577.6987,833035.9282,1062810.327,1294410.404,1881840.564,1970818.38
50,0,6610.473626,14512.55924,22139.30376,28833.3147,42164.40845,56138.3347,73412.29665,94457.85294,123694.5287,153024.4879,196399.5626,218750.8584,269540.4748,334331.3746,398797.6292,498996.8938,608402.7273,716680.4344,897877.2412,1146250.326,1396006.047,2033595.204,2129565.755
52,0,8399.643881,16760.76018,24773.69637,31977.3467,46099.97959,61056.87002,79448.46458,101897.7061,133251.8096,164475.2866,210970.4615,234760.305,289300.8872,358869.118,427955.4639,535913.846,653475.4279,769558.8597,965029.6632,1232721.1,1501316.71,2191103.078,2294330.848
54,0,10219.63024,19051.03249,27459.20264,35187.42349,50122.99903,66092.81829,85635.37911,109531.6502,143073.2696,176248.8083,225969.2869,251242.3997,309664.2861,384176.9255,458042.0535,574043.8656,700052.5579,824212.9748,1034493.194,1322222.65,1610342.391,2354364.188,2465113.658
56,0,12070.43271,21383.37618,30195.82259,38463.54506,54233.46677,71246.1795,91973.04024,117359.685,153158.9088,188345.053,241396.0388,268197.1423,330630.6713,410254.7972,489057.3978,613386.9528,748134.117,880642.7796,1106267.834,1414754.974,1723083.092,2523378.531,2641914.185
58,0,13952.05128,23757.79125,32983.55621,41805.71142,58431.38282,76516.95368,98461.44797,125381.8106,163508.7271,200764.0207,257250.7173,285624.5329,352200.0429,437102.733,521001.497,653943.1074,797720.1055,938848.2741,1180353.583,1510318.074,1839538.812,2698146.11,2824732.428
60,6966.64416,15864.48597,26174.27769,35822.4035,45213.92257,62716.74717,81905.1408,105100.6023,133598.027,174122.7246,213505.7114,273533.3224,303524.5714,374372.401,464720.733,553874.3509,695712.3296,848810.5232,998829.4583,1256750.44,1608911.95,1959709.551,2878666.923,3013568.389
62,8436.229502,17807.73675,28632.83551,38712.36446,48688.1785,67089.55983,87410.74088,111890.5032,142008.3342,185000.9012,226570.1251,290243.854,321897.258,397147.7454,493108.797,587675.9597,738694.6192,901405.3702,1060586.332,1335458.407,1710536.6,2083595.309,3064940.971,3208422.067
64,9926.52649,19781.80364,31133.46471,41653.4391,52228.47922,71549.82079,93033.7539,118831.1508,150612.7322,196143.257,239957.2618,307382.3121,340742.5925,420526.0762,522266.9252,622406.3232,782889.9763,955504.6464,1124118.896,1416477.483,1815192.026,2211196.087,3256968.254,3409293.462
66,11437.53512,21786.68664,33676.16528,44645.6274,55834.82472,76097.53005,98774.17989,125922.5449,159411.221,207549.7919,253667.1215,324948.6968,360060.5751,444507.3935,552195.1176,658065.4416,828298.4009,1011108.352,1189427.149,1499807.667,1922878.227,2342511.884,3454748.771,3616182.574
68,12969.2554,23822.38575,36260.93723,47688.92937,59507.21501,80732.68761,104632.0188,133164.6856,168403.8006,219220.5059,267699.7042,342943.0081,379851.2056,469091.6971,582893.374,694653.3147,874919.8931,1068216.487,1256511.092,1585448.961,2033595.204,2477542.7,3658282.523,3829089.403
70,14521.68732,25888.90096,38887.78055,50783.34502,63245.65009,85455.29348,110607.2707,140557.5729,159411.221,231155.3991,282055.0098,361365.2459,400114.4841,494278.9871,614361.6946,732169.9427,922754.4527,1126829.051,1325370.725,1673401.363,2147342.956,2616288.535,3867569.509,4048013.949
72,16094.83089,27986.23228,41556.69525,53928.87434,67050.12995,90265.34765,116699.9355,133164.6856,150612.7322,243354.4714,296733.0385,380215.4102,420850.4106,520069.2635,646600.0793,770615.3254,971802.0797,1186946.044,1396006.047,1763664.875,2264121.483,2758749.389,4082609.73,4272956.213
74,17688.6861,30114.3797,44267.68133,57125.51732,70920.6546,95162.85012,116699.9355,125922.5449,142008.3342,255817.7229,311733.7902,399493.5011,442058.9851,546462.5263,679608.5281,809989.463,1022062.774,1248567.467,1468417.06,1856239.495,2383930.785,2904925.263,4303403.186,4503916.193
76,19303.25295,32273.34323,47020.73879,60373.27398,74857.22403,90265.34765,110607.2707,118831.1508,133598.027,268545.1535,327057.2649,419199.5185,463740.2076,573458.7756,713387.0411,850292.3553,1073536.536,1311693.318,1542603.762,1951125.225,2506770.863,3054816.155,4529949.877,4740893.89
78,20938.53145,34463.12287,49815.86762,63672.14431,78859.83825,85455.29348,104632.0188,111890.5032,125381.8106,281536.7633,342703.4626,439333.4624,485894.078,601058.0112,747935.6182,891524.0025,1126223.366,1376323.599,1618566.153,2048322.063,2632641.715,3208422.067,4762249.802,4983889.304
80,22594.5216,36683.71861,52653.06783,67022.12831,82928.49725,80732.68761,98774.17989,105100.6023,117359.685,294792.5522,358672.3832,459895.3329,508520.5964,629260.2332,783254.2594,933684.4044,1180123.263,1442458.31,1696304.234,2147830.01,2761543.344,3365742.998,5000302.962,5232902.436
82,24271.22339,38935.13046,55532.33941,70423.22598,78859.83825,76097.53005,93033.7539,98461.44797,109531.6502,308312.5202,374964.0269,480885.13,531619.7629,658065.4416,819342.9648,976773.5612,1235236.228,1510097.449,1775818.006,2249649.066,2893475.747,3526778.949,5244109.356,5487933.284
84,25968.63683,41217.35841,58453.68237,67022.12831,74857.22403,71549.82079,87410.74088,91973.04024,101897.7061,322096.6674,391578.3936,502302.8536,555191.5773,687473.6364,856201.7343,1020791.473,1291562.26,1579241.018,1857107.466,2353779.231,3028438.926,3691529.918,5493668.986,5748981.849
86,27686.76191,43530.40247,61417.09671,63672.14431,70920.6546,67089.55983,81905.1408,85635.37911,94457.85294,336144.9937,408515.4832,524148.5037,579236.0397,717484.8176,893830.5679,1065738.139,1349101.359,1649889.016,1940172.617,2460220.505,3166432.88,3859995.907,5748981.849,6016048.132
88,29425.59863,45874.26264,58453.68237,60373.27398,67050.12995,62716.74717,76516.95368,79448.46458,87212.09052,350457.4992,425775.2959,546422.0804,603753.15,748098.9852,932229.4656,1111613.56,1407853.526,1722041.444,2025013.457,2568972.888,3307457.609,4032176.915,6010047.948,6289132.131
90,31185.147,48248.93891,55532.33941,57125.51732,63245.65009,58431.38282,71246.1795,73412.29665,80160.41891,365034.1838,443357.8315,569123.5837,628742.9084,779316.1392,971398.4275,1158417.736,1467818.761,1795698.3,2111629.987,2680036.38,3451513.114,4208072.942,6276867.281,6568233.848
92,32965.40701,50654.43129,52653.06783,53928.87434,59507.21501,54233.46677,66092.81829,67526.87532,73302.83809,379875.0476,461263.0902,592253.0135,654205.3148,811136.2796,1011337.453,1206150.667,1528997.063,1870859.586,2200022.206,2793410.981,3598599.394,4387683.988,6549439.849,6853353.282
94,34766.37867,48248.93891,49815.86762,50783.34502,55834.82472,50122.99903,61056.87002,61792.20059,66639.34808,394980.0905,479491.0719,615810.3698,680140.3691,843559.4064,1052046.544,1254812.352,1591388.432,1947525.301,2290190.116,2909096.691,3748716.449,4571010.053,6827765.652,7144490.432
96,36588.06198,45874.26264,47020.73879,47688.92937,52228.47922,46099.97959,56138.3347,56208.27245,60169.94886,410349.3125,498041.7765,639795.6527,706548.0714,876585.5196,1093525.698,1304402.793,1654992.869,2025695.446,2382133.715,3027093.51,3901864.279,4758051.138,7111844.689,7441645.3
98,38430.45693,43530.40247,44267.68133,44645.6274,48688.1785,42164.40845,51337.21234,50775.09092,53894.64044,425982.7137,516915.2041,664208.8621,733428.4217,910214.6192,1135774.916,1354921.988,1719810.374,2105370.019,2475853.003,3147401.437,4058042.885,4948807.242,7401676.961,7744817.885
100,36588.06198,41217.35841,41556.69525,41653.4391,45213.92257,38316.28561,46653.50293,45492.65599,47813.42282,441880.294,536111.3548,689049.998,760781.42,944446.7052,1178794.199,1406369.938,1785840.946,2186549.022,2571347.982,3270020.474,4217252.266,5143278.365,7697262.467,8054008.187
102,34766.37867,38935.13046,38887.78055,38712.36446,41805.71142,34555.61108,42087.20648,40360.96765,41926.296,458042.0535,555630.2284,714319.0605,788607.0663,979281.7776,1222583.545,1458746.643,1853084.585,2269232.455,2668618.65,3394950.62,4379492.422,5341464.507,7998601.208,8369216.205
104,32965.40701,36683.71861,36260.93723,35822.4035,38463.54506,30882.38485,37638.32297,35380.02592,36233.25998,474467.9921,575471.8251,740016.0496,816905.3606,1014719.836,1267142.956,1512052.102,1921541.292,2353420.316,2767665.008,3522191.874,4544763.354,5543365.669,8305693.184,8690441.941
106,31185.147,34463.12287,33676.16528,32983.55621,35187.42349,27296.60693,33306.85242,30549.83079,30734.31475,491158.1099,595636.1447,766140.9652,845676.3028,1050760.882,1312472.431,1566286.316,1991211.067,2439112.607,2868487.055,3651744.238,4713065.061,5748981.849,8618538.395,9017685.394
108,29425.59863,32273.34323,31133.46471,30195.82259,31977.3467,23798.27731,29092.79482,25870.38225,25429.46033,508112.4068,616123.1873,792693.8073,874919.8931,1087404.913,1358571.97,1621449.286,2062093.909,2526309.327,2971084.793,3783607.71,4884397.543,5958313.049,8937136.84,9350946.564
110,27686.76191,30114.3797,28632.83551,27459.20264,28833.3147,20387.39599,24996.15017,21341.68032,20318.6967,525330.8828,636932.953,819674.576,904636.1313,1124651.931,1405441.573,1677541.009,2134189.818,2615010.476,3075458.22,3917782.292,5058760.8,6171359.268,9261488.52,9690225.451
112,25968.63683,27986.23228,26174.27769,24773.69637,25755.32748,17063.96297,21016.91848,16963.72498,15402.02388,542813.538,658065.4416,847083.2713,934825.0175,1162501.936,1453081.24,1734561.488,2207498.795,2705216.055,3181607.337,4054267.982,5236154.833,6388120.507,9591593.434,10035522.06
114,24271.22339,25888.90096,23757.79125,22139.30376,22743.38505,13827.97826,17155.09973,12736.51624,10679.44185,560560.3723,679520.6532,874919.8931,965486.5517,1200954.926,1501490.972,1792510.722,2282020.84,2796926.062,3289532.143,4193064.781,5416579.641,6608596.764,9927451.584,10386836.38
116,22594.5216,23822.38575,21383.37618,19556.02482,19797.4874,10679.44185,13410.69394,8660.054107,6150.950621,578571.3858,701298.5878,903184.4414,996620.7339,1240010.904,1550670.767,1851388.71,2357755.952,2890140.499,3399232.639,4334172.69,5600035.225,6832788.041,10269062.97,10744168.41
118,20938.53145,21786.68664,19051.03249,17023.85956,16917.63454,7618.353744,9783.701105,0,0,596846.5784,723399.2455,931876.9163,1028227.564,1279669.867,1600620.627,1911195.453,2434704.131,2984859.366,3510708.825,4477591.707,5786521.583,7060694.336,10616427.59,11107518.17
120,19303.25295,19781.80364,16760.76018,14542.80796,14103.82646,0,6274.121219,0,0,615385.9502,745822.6261,960997.3177,1060307.042,1319931.817,1651340.551,1971930.951,2512865.378,3081082.661,3623960.7,4623321.833,5976038.717,7292315.652,10969545.44,11476885.64
